Name_in_Tree,Total_Length,Body_Mass,Lifestyle,Diet,Diel,Body_Shape,Bioregion,Clade,Side,Side_Col,Genus,Month,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,alt,Best_Maxent_Model,avg_lambda_tip
Adelophis_copei,309,5.9,Fossorial,Vermivorous,NA,Stout,3,TMX,West,#DE524A,Thamnophis,NA,22.2,16.7,63,2450,35.4,9,26.4,24.3,21.5,24.9,18.6,849,245,6,118,601,23,414,41,1129,rm.1_fc.LQ,
Clonophis_kirtlandii,622,59.1,Aquatic,Vermivorous,Nocturnal,Stout,1,SMF,East,#10A494,Clonophis,May,8.8,11.2,29,9669,28.2,-10.1,38.3,18.7,-4.3,20.8,-4.3,926,97,44,23,286,157,286,157,289,rm.1_fc.H,0.145825221
Liodytes_alleni,705,89.4,Aquatic,Durophagous,Cathemeral,Stout,1,SMF,East,#10A494,Liodytes,July,20.8,12.5,47,5036,32.8,6.7,26.1,26.8,15.1,26.8,14,1312,181,57,40,521,203,521,235,40,rm.3_fc.LQHP,0.149318461
Liodytes_rigida,797,134.1,Aquatic,Durophagous,Cathemeral,Stout,1,SMF,East,#10A494,Liodytes,April,18.8,13.3,42,6451,33.9,2.8,31.1,22.5,26.3,26.6,10,1333,145,83,17,381,292,316,347,83,rm.1_fc.LQH,0.149699976
Nerodia_clarkii,933,225.7,Aquatic,Aquatic_Generalist,Nocturnal,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,April,24.3,10.3,64,1971,32,16,16,26,21.6,26.6,21.6,1505,233,32,66,661,104,625,104,121,rm.1_fc.LQH,0.139457662
Nerodia_cyclopion,1295,666.5,Aquatic,Aquatic_Generalist,Diurnal,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,May,14.5,11.9,31,9024,33.1,-4.4,37.5,14.5,20.8,25.7,2.2,1212,131,75,18,379,251,267,286,88,rm.1_fc.H,0.133049175
Nerodia_erythrogaster,1636,1442.5,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,May,21.6,13.1,40,6805,36.7,4.6,32.1,26.6,13.1,29.8,12.3,452,95,13,63,176,56,96,63,240,rm.1_fc.LQH,0.134675512
Nerodia_fasciata,1588,1307.4,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,April,19,13.2,42,6558,34.1,2.7,31.4,25.5,24,27,10.1,1371,143,88,16,391,302,336,357,31,rm.1_fc.LQH,0.140186997
Nerodia_floridana,1880,2283.2,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,March,19.3,13.5,46,5993,32.8,3.7,29.1,26.5,15.6,26.5,11.2,1551,201,83,26,536,288,536,362,52,rm.1_fc.H,0.133208904
Nerodia_harteri,902,201.9,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,April,18.4,14.1,38,7787,36,-0.3,36.3,22.6,9.2,28.1,8,796,119,41,33,282,132,189,133,230,rm.2_fc.LQH,
Nerodia_paucimaculata,652,69.1,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,September,17.8,14.7,41,7552,34.8,-0.9,35.7,23.2,7.7,27.2,7.7,579,88,21,45,210,74,166,74,636,rm.2_fc.H,
Nerodia_rhombifer,1753,1812.2,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,13,NRD,East,#10A494,Nerodia,May,13.7,12.3,30,9677,33.7,-6.4,40.1,23.4,0.9,25.9,0.9,783,114,19,47,312,73,288,73,395,rm.1_fc.LQH,0.13292263
Nerodia_rhombifer_werleri,1753,1812.2,Aquatic,Aquatic_Generalist,,Heavy_Bodied,13,NRD,East,#10A494,Nerodia,NA,2.61,0.44,45,1926,3.08,2.11,0.97,2.69,2.56,2.82,2.35,318,71,4,78,176,24,74,44,2,rm.3_fc.LQ,
Nerodia_sipedon,1500,1083,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,May,10,12.2,39,6903,25.1,-5.9,31,2.2,15.1,18.6,0.8,1961,200,136,9,541,442,477,513,1248,rm.1_fc.LQHP,0.136745769
Nerodia_taxispilota,1766,1857,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,1,NRD,East,#10A494,Nerodia,March,20.3,13.3,48,5407,32.7,5.2,27.5,26.7,17.2,26.7,12.9,842,128,33,42,337,142,337,197,17,rm.1_fc.LQHP,0.133266005
Regina_grahamii,1194,509.7,Aquatic,Durophagous,Cathemeral,Stocky,1,RGN,East,#10A494,Regina,May,19.7,11,38,6336,33,4.7,28.3,26,15.8,27.4,11.1,1427,150,90,15,414,295,407,358,8,rm.1_fc.LQHP,0.131312837
Regina_septemvittata,922,217,Aquatic,Durophagous,Cathemeral,Stocky,1,RGN,East,#10A494,Regina,May,12.9,14.3,42,7235,29.3,-4.4,33.7,4.6,13.6,21.9,3.2,1535,163,93,14,449,318,380,421,562,rm.1_fc.LQH,0.131373234
Seminatrix_pygaea,555,40.6,Aquatic,Aquatic_Generalist,Nocturnal,Stout,1,SMF,East,#10A494,Seminatrix,May,20.5,12.1,46,5261,32.7,6.4,26.3,26.6,14.6,26.8,13.4,1308,184,58,40,518,207,516,240,29,rm.1_fc.LQHP,0.147425802
Storeria_dekayi,527,34.2,Fossorial,Vermivorous,Cathemeral,Stout,134,STR,East,#10A494,Storeria,April,22.8,12.7,42,5949,37.6,7.8,29.8,29.3,15.4,29.8,14.6,705,143,15,63,315,72,265,77,244,rm.1_fc.LQHP,0.155172708
Storeria_dekayi_tropica,527,34.2,Fossorial,Vermivorous,,Stout,34,STR,East,#10A494,Storeria,NA,1.93,1.06,56,2639,2.84,0.96,1.88,2.14,1.86,2.2,1.56,3211,599,94,62,1501,307,1031,354,1081,rm.1_fc.LQHP,
Storeria_hidalgoensis,330,7.3,Fossorial,Vermivorous,NA,Stout,13,STR,East,#10A494,Storeria,NA,20.5,13.4,59,3052,31.5,8.9,22.6,22.9,17.5,23.7,16.2,1864,429,40,80,962,126,672,134,1182,rm.3_fc.LQH,
