num,lm,Bone,type,Name,Description,Position,full_model,braincase
1,1,premaxilla,anatomical,LM_Premaxilla-1,ant_med_premax,m,1,1
2,2,premaxilla,anatomical,LM_Premaxilla-2,post_med_premax,m,1,1
3,3,premaxilla,anatomical,LM_Premaxilla-3,dors_vent_premax_max,l,1,1
4,4,premaxilla,anatomical,LM_Premaxilla-4,vent_vent_premax_max,l,1,1
5,5,premaxilla,anatomical,LM_Premaxilla-3,dors_vent_premax_max,r,1,1
6,6,premaxilla,anatomical,LM_Premaxilla-4,vent_vent_premax_max,r,1,1
7,7,nasal,anatomical,LM_Nasal-5,ant_med_nasal,m,2,1
8,8,nasal,anatomical,LM_Nasal-6,post_med_nasal,m,2,1
9,9,nasal,anatomical,LM_Nasal-7,post_lat_nasal,l,2,1
10,10,nasal,anatomical,LM_Nasal-8,ant_lat_nasal_naris,l,2,1
11,11,nasal,anatomical,LM_Nasal-7,post_lat_nasal,r,2,1
12,12,nasal,anatomical,LM_Nasal-8,ant_lat_nasal_naris,r,2,1
13,13,frontal,anatomical,LM_Frontal-9,ant_med_front,m,3,1
14,14,frontal,anatomical,LM_Frontal-10,post_med_front,m,3,1
15,15,frontal,anatomical,LM_Frontal-11,post_lat_front_par,l,3,1
16,16,frontal,anatomical,LM_Frontal-12,ant_lat_front,l,3,1
17,17,frontal,anatomical,LM_Frontal-11,post_lat_front_par,r,3,1
18,18,frontal,anatomical,LM_Frontal-12,ant_lat_front,r,3,1
19,19,parietal,anatomical,LM_Parietal-13,ant_med_par,m,4,1
20,20,parietal,anatomical,LM_Parietal-14,post_med_par,m,4,1
21,21,parietal,anatomical,LM_Parietal-15,post_lat_par,l,4,1
22,22,parietal,anatomical,LM_Parietal-16,ant_lat_par_front,l,4,1
23,23,parietal,anatomical,LM_Parietal-15,post_lat_par,r,4,1
24,24,parietal,anatomical,LM_Parietal-16,ant_lat_par_front,r,4,1
25,25,supraoccipital,anatomical,LM_Supraoccipital-17,dors_med_supraocc,m,5,1
26,26,supraoccipital,anatomical,LM_Supraoccipital-18,dors_med_for_mag,m,5,1
27,27,supraoccipital,anatomical,LM_Supraoccipital-19,vent_med_for_mag,l,5,1
28,28,supraoccipital,anatomical,LM_Supraoccipital-20,vent_lat_oto_basiocc,l,5,1
29,29,supraoccipital,anatomical,LM_Supraoccipital-21,vent_otocc_squa_junct,l,5,1
30,30,supraoccipital,anatomical,LM_Supraoccipital-19,vent_med_for_mag,r,5,1
31,31,supraoccipital,anatomical,LM_Supraoccipital-20,vent_lat_oto_basiocc,r,5,1
32,32,supraoccipital,anatomical,LM_Supraoccipital-21,vent_otocc_squa_junct,r,5,1
33,33,basisphenoid,anatomical,LM_Basisphenoid-22,med_basiocc_occ_cond_junct,m,6,1
34,34,basisphenoid,anatomical,LM_Basisphenoid-23,ant_med_basisphen,m,6,1
35,35,basisphenoid,anatomical,LM_Basisphenoid-24,med_sphen_ptery_junct,l,6,1
36,36,basisphenoid,anatomical,LM_Basisphenoid-25,post_lat_oto_basiocc,l,6,1
37,37,basisphenoid,anatomical,LM_Basisphenoid-24,med_sphen_ptery_junct,r,6,1
38,38,basisphenoid,anatomical,LM_Basisphenoid-25,post_lat_oto_basiocc,r,6,1
39,39,maxilla,anatomical,LM_Maxilla-26,post_teeth_row_max,l,8,2
40,40,maxilla,anatomical,LM_Maxilla-27,ant_teeth_row_max,l,8,2
41,41,maxilla,anatomical,LM_Maxilla-28,post_ectoptery_porc_max,l,8,2
42,42,maxilla,anatomical,LM_Maxilla-29,ant_ectoptery_proc_max,l,8,2
43,43,maxilla,anatomical,LM_Maxilla-30,post_palat_fac_max,l,8,2
44,44,maxilla,anatomical,LM_Maxilla-31,ant_palat_fac_max,l,8,2
45,45,maxilla,anatomical,LM_Maxilla-26,post_teeth_row_max,r,8,2
46,46,maxilla,anatomical,LM_Maxilla-27,ant_teeth_row_max,r,8,2
47,47,maxilla,anatomical,LM_Maxilla-28,post_ectoptery_porc_max,r,8,2
48,48,maxilla,anatomical,LM_Maxilla-29,ant_ectoptery_proc_max,r,8,2
49,49,maxilla,anatomical,LM_Maxilla-30,post_palat_fac_max,r,8,2
50,50,maxilla,anatomical,LM_Maxilla-31,ant_palat_fac_max,r,8,2
51,51,palatine,anatomical,LM_Palatine-32,post_lat_ptery_fac_palat,l,9,3
52,52,palatine,anatomical,LM_Palatine-33,dors_ant_ptery_fac_palat,l,9,3
53,53,palatine,anatomical,LM_Palatine-34,post_med_ptery_fac_palat,l,9,3
54,54,palatine,anatomical,LM_Palatine-35,vent_ant_ptery_fac_palat,l,9,3
55,55,palatine,anatomical,LM_Palatine-36,post_teeth_row_palat,l,9,3
56,56,palatine,anatomical,LM_Palatine-37,ant_teeth_row_palat,l,9,3
57,57,palatine,anatomical,LM_Palatine-38,ant_max_fac_palat,l,9,3
58,58,palatine,anatomical,LM_Palatine-39,post_med_max_fac_palat,l,9,3
59,59,palatine,anatomical,LM_Palatine-40,ant_med_palat,l,9,3
60,60,palatine,anatomical,LM_Palatine-41,ant_palat,l,9,3
61,61,palatine,anatomical,LM_Palatine-32,post_lat_ptery_fac_palat,r,9,3
62,62,palatine,anatomical,LM_Palatine-33,dors_ant_ptery_fac_palat,r,9,3
63,63,palatine,anatomical,LM_Palatine-34,post_med_ptery_fac_palat,r,9,3
64,64,palatine,anatomical,LM_Palatine-35,vent_ant_ptery_fac_palat,r,9,3
65,65,palatine,anatomical,LM_Palatine-36,post_teeth_row_palat,r,9,3
66,66,palatine,anatomical,LM_Palatine-37,ant_teeth_row_palat,r,9,3
67,67,palatine,anatomical,LM_Palatine-38,ant_max_fac_palat,r,9,3
68,68,palatine,anatomical,LM_Palatine-39,post_med_max_fac_palat,r,9,3
69,69,palatine,anatomical,LM_Palatine-40,ant_med_palat,r,9,3
70,70,palatine,anatomical,LM_Palatine-41,ant_palat,r,9,3
71,71,ectopterygoid,anatomical,LM_Ectopterygoid-42,ant_lat_ectoptery,l,10,4
72,72,ectopterygoid,anatomical,LM_Ectopterygoid-43,ant_med_ectoptery,l,10,4
73,73,ectopterygoid,anatomical,LM_Ectopterygoid-44,post_ectoptery,l,10,4
74,74,ectopterygoid,anatomical,LM_Ectopterygoid-42,ant_lat_ectoptery,r,10,4
75,75,ectopterygoid,anatomical,LM_Ectopterygoid-43,ant_med_ectoptery,r,10,4
76,76,ectopterygoid,anatomical,LM_Ectopterygoid-44,post_ectoptery,r,10,4
77,77,pterygoid,anatomical,LM_Pterygoid-45,post_ptery,l,11,5
78,78,pterygoid,anatomical,LM_Pterygoid-46,post_teeth_row_ptery,l,11,5
79,79,pterygoid,anatomical,LM_Pterygoid-47,ant_teeth_row_ptery,l,11,5
80,80,pterygoid,anatomical,LM_Pterygoid-48,post_ectoptery_fac_ptery,l,11,5
81,81,pterygoid,anatomical,LM_Pterygoid-49,ant_ectoptery_fac_ptery,l,11,5
82,82,pterygoid,anatomical,LM_Pterygoid-45,post_ptery,r,11,5
83,83,pterygoid,anatomical,LM_Pterygoid-46,post_teeth_row_ptery,r,11,5
84,84,pterygoid,anatomical,LM_Pterygoid-47,ant_teeth_row_ptery,r,11,5
85,85,pterygoid,anatomical,LM_Pterygoid-48,post_ectoptery_fac_ptery,r,11,5
86,86,pterygoid,anatomical,LM_Pterygoid-49,ant_ectoptery_fac_ptery,r,11,5
87,87,dentary,anatomical,LM_Dentary-50,ant_teeth_row_dent,l,12,6
88,88,dentary,anatomical,LM_Dentary-51,dors_post_intramand_dent,l,12,6
89,89,dentary,anatomical,LM_Dentary-52,ant_dent_comp_art_dent,l,12,6
90,90,dentary,anatomical,LM_Dentary-53,vent_post_intramand_dent,l,12,6
91,91,dentary,anatomical,LM_Dentary-54,ant_med_dent_comp_art_dent,l,12,6
92,92,dentary,anatomical,LM_Dentary-55,post_med_dent_comp_art_dent,l,12,6
93,93,dentary,anatomical,LM_Dentary-56,inter_teeth_row_dent_comp_art_dent,l,12,6
94,94,dentary,anatomical,LM_Dentary-50,ant_teeth_row_dent,r,12,6
95,95,dentary,anatomical,LM_Dentary-51,dors_post_intramand_dent,r,12,6
96,96,dentary,anatomical,LM_Dentary-52,ant_dent_comp_art_dent,r,12,6
97,97,dentary,anatomical,LM_Dentary-53,vent_post_intramand_dent,r,12,6
98,98,dentary,anatomical,LM_Dentary-54,ant_med_dent_comp_art_dent,r,12,6
99,99,dentary,anatomical,LM_Dentary-55,post_med_dent_comp_art_dent,r,12,6
100,100,dentary,anatomical,LM_Dentary-56,inter_teeth_row_dent_comp_art_dent,r,12,6
101,101,compound,anatomical,LM_Compound-57,ant_comp,l,13,7
102,102,compound,anatomical,LM_Compound-58,ant_surang_proc_comp,l,13,7
103,103,compound,anatomical,LM_Compound-59,post_surang_proc_comp,l,13,7
104,104,compound,anatomical,LM_Compound-60,ant_preart_proc_comp,l,13,7
105,105,compound,anatomical,LM_Compound-61,post_preart_proc_comp,l,13,7
106,106,compound,anatomical,LM_Compound-62,ant_lat_comp_quad_joint_comp,l,13,7
107,107,compound,anatomical,LM_Compound-63,ant_med_comp_quad_joint_comp,l,13,7
108,108,compound,anatomical,LM_Compound-64,post_lat_comp_quad_joint_comp,l,13,7
109,109,compound,anatomical,LM_Compound-65,post_med_comp_quad_joint_comp,l,13,7
110,110,compound,anatomical,LM_Compound-66,post_dors_comp,l,13,7
111,111,compound,anatomical,LM_Compound-67,post_vent_comp,l,13,7
112,112,compound,anatomical,LM_Compound-68,ant_inter_surang_preart_proc_comp,l,13,7
113,113,compound,anatomical,LM_Compound-57,ant_comp,r,13,7
114,114,compound,anatomical,LM_Compound-58,ant_surang_proc_comp,r,13,7
115,115,compound,anatomical,LM_Compound-59,post_surang_proc_comp,r,13,7
116,116,compound,anatomical,LM_Compound-60,ant_preart_proc_comp,r,13,7
117,117,compound,anatomical,LM_Compound-61,post_preart_proc_comp,r,13,7
118,118,compound,anatomical,LM_Compound-62,ant_lat_comp_quad_joint_comp,r,13,7
119,119,compound,anatomical,LM_Compound-63,ant_med_comp_quad_joint_comp,r,13,7
120,120,compound,anatomical,LM_Compound-64,post_lat_comp_quad_joint_comp,r,13,7
121,121,compound,anatomical,LM_Compound-65,post_med_comp_quad_joint_comp,r,13,7
122,122,compound,anatomical,LM_Compound-66,post_dors_comp,r,13,7
123,123,compound,anatomical,LM_Compound-67,post_vent_comp,r,13,7
124,124,compound,anatomical,LM_Compound-68,ant_inter_surang_preart_proc_comp,r,13,7
125,125,quadrate,anatomical,LM_Quadrate-69,dors_ant_art_supratemp_quad,l,14,8
126,126,quadrate,anatomical,LM_Quadrate-70,dors_post_art_supratemp_quad,l,14,8
127,127,quadrate,anatomical,LM_Quadrate-71,vent_post_art_supratemp_quad,l,14,8
128,128,quadrate,anatomical,LM_Quadrate-72,vent_ant_art_supratemp_quad,l,14,8
129,129,quadrate,anatomical,LM_Quadrate-73,post_lat_art_artic_quad,l,14,8
130,130,quadrate,anatomical,LM_Quadrate-74,dors_ant_art_artic_quad,l,14,8
131,131,quadrate,anatomical,LM_Quadrate-75,post_med_art_artic_quad,l,14,8
132,132,quadrate,anatomical,LM_Quadrate-76,vent_med_art_artic_quad,l,14,8
133,133,quadrate,anatomical,LM_Quadrate-77,ant_lat_art_artic_quad,l,14,8
134,134,quadrate,anatomical,LM_Quadrate-78,ant_med_art_artic_quad,l,14,8
135,135,quadrate,anatomical,LM_Quadrate-79,ant_med_art_artic_low_quad,l,14,8
136,136,quadrate,anatomical,LM_Quadrate-80,vent_lat_art_artic_quad,l,14,8
137,137,quadrate,anatomical,LM_Quadrate-69,dors_ant_art_supratemp_quad,r,14,8
138,138,quadrate,anatomical,LM_Quadrate-70,dors_post_art_supratemp_quad,r,14,8
139,139,quadrate,anatomical,LM_Quadrate-71,vent_post_art_supratemp_quad,r,14,8
140,140,quadrate,anatomical,LM_Quadrate-72,vent_ant_art_supratemp_quad,r,14,8
141,141,quadrate,anatomical,LM_Quadrate-73,post_lat_art_artic_quad,r,14,8
142,142,quadrate,anatomical,LM_Quadrate-74,dors_ant_art_artic_quad,r,14,8
143,143,quadrate,anatomical,LM_Quadrate-75,post_med_art_artic_quad,r,14,8
144,144,quadrate,anatomical,LM_Quadrate-76,vent_med_art_artic_quad,r,14,8
145,145,quadrate,anatomical,LM_Quadrate-77,ant_lat_art_artic_quad,r,14,8
146,146,quadrate,anatomical,LM_Quadrate-78,ant_med_art_artic_quad,r,14,8
147,147,quadrate,anatomical,LM_Quadrate-79,ant_med_art_artic_low_quad,r,14,8
148,148,quadrate,anatomical,LM_Quadrate-80,vent_lat_art_artic_quad,r,14,8
149,149,supratemporal,anatomical,LM_Supratemporal-81,post_supratemp,l,15,9
150,150,supratemporal,anatomical,LM_Supratemporal-82,ant_supratemp,l,15,9
151,151,supratemporal,anatomical,LM_Supratemporal-81,post_supratemp,r,15,9
152,152,supratemporal,anatomical,LM_Supratemporal-82,ant_supratemp,r,15,9
153,1,premaxilla,curve,C1.Premaxilla-0,C1.ant_med_post_med_premax,m,1,1
154,2,premaxilla,curve,C1.Premaxilla-1,C1.ant_med_post_med_premax,m,1,1
155,3,premaxilla,curve,C1.Premaxilla-2,C1.ant_med_post_med_premax,m,1,1
156,4,premaxilla,curve,C1.Premaxilla-3,C1.ant_med_post_med_premax,m,1,1
157,5,premaxilla,curve,C1.Premaxilla-4,C1.ant_med_post_med_premax,m,1,1
158,6,premaxilla,curve,C1.Premaxilla-5,C1.ant_med_post_med_premax,m,1,1
159,7,premaxilla,curve,C1.Premaxilla-6,C1.ant_med_post_med_premax,m,1,1
160,8,premaxilla,curve,C1.Premaxilla-7,C1.ant_med_post_med_premax,m,1,1
161,9,premaxilla,curve,C1.Premaxilla-8,C1.ant_med_post_med_premax,m,1,1
162,10,premaxilla,curve,C1.Premaxilla-9,C1.ant_med_post_med_premax,m,1,1
163,1,premaxilla,curve,C2.Premaxilla-0,C2.post_med_dors_vent_premax,l,1,1
164,2,premaxilla,curve,C2.Premaxilla-1,C2.post_med_dors_vent_premax,l,1,1
165,3,premaxilla,curve,C2.Premaxilla-2,C2.post_med_dors_vent_premax,l,1,1
166,4,premaxilla,curve,C2.Premaxilla-3,C2.post_med_dors_vent_premax,l,1,1
167,5,premaxilla,curve,C2.Premaxilla-4,C2.post_med_dors_vent_premax,l,1,1
168,6,premaxilla,curve,C2.Premaxilla-5,C2.post_med_dors_vent_premax,l,1,1
169,7,premaxilla,curve,C2.Premaxilla-6,C2.post_med_dors_vent_premax,l,1,1
170,8,premaxilla,curve,C2.Premaxilla-7,C2.post_med_dors_vent_premax,l,1,1
171,9,premaxilla,curve,C2.Premaxilla-8,C2.post_med_dors_vent_premax,l,1,1
172,10,premaxilla,curve,C2.Premaxilla-9,C2.post_med_dors_vent_premax,l,1,1
173,1,premaxilla,curve,C3.Premaxilla-0,C3.dors_vent_vent_vent_premax,l,1,1
174,2,premaxilla,curve,C3.Premaxilla-1,C3.dors_vent_vent_vent_premax,l,1,1
175,3,premaxilla,curve,C3.Premaxilla-2,C3.dors_vent_vent_vent_premax,l,1,1
176,4,premaxilla,curve,C3.Premaxilla-3,C3.dors_vent_vent_vent_premax,l,1,1
177,5,premaxilla,curve,C3.Premaxilla-4,C3.dors_vent_vent_vent_premax,l,1,1
178,6,premaxilla,curve,C3.Premaxilla-5,C3.dors_vent_vent_vent_premax,l,1,1
179,7,premaxilla,curve,C3.Premaxilla-6,C3.dors_vent_vent_vent_premax,l,1,1
180,8,premaxilla,curve,C3.Premaxilla-7,C3.dors_vent_vent_vent_premax,l,1,1
181,9,premaxilla,curve,C3.Premaxilla-8,C3.dors_vent_vent_vent_premax,l,1,1
182,10,premaxilla,curve,C3.Premaxilla-9,C3.dors_vent_vent_vent_premax,l,1,1
183,1,premaxilla,curve,C4.Premaxilla-0,C4.vent_vent_ant_med_premax,l,1,1
184,2,premaxilla,curve,C4.Premaxilla-1,C4.vent_vent_ant_med_premax,l,1,1
185,3,premaxilla,curve,C4.Premaxilla-2,C4.vent_vent_ant_med_premax,l,1,1
186,4,premaxilla,curve,C4.Premaxilla-3,C4.vent_vent_ant_med_premax,l,1,1
187,5,premaxilla,curve,C4.Premaxilla-4,C4.vent_vent_ant_med_premax,l,1,1
188,6,premaxilla,curve,C4.Premaxilla-5,C4.vent_vent_ant_med_premax,l,1,1
189,7,premaxilla,curve,C4.Premaxilla-6,C4.vent_vent_ant_med_premax,l,1,1
190,8,premaxilla,curve,C4.Premaxilla-7,C4.vent_vent_ant_med_premax,l,1,1
191,9,premaxilla,curve,C4.Premaxilla-8,C4.vent_vent_ant_med_premax,l,1,1
192,10,premaxilla,curve,C4.Premaxilla-9,C4.vent_vent_ant_med_premax,l,1,1
193,1,nasal,curve,C5.Nasal-0,C5.ant_med_post_med_nasal,m,2,1
194,2,nasal,curve,C5.Nasal-1,C5.ant_med_post_med_nasal,m,2,1
195,3,nasal,curve,C5.Nasal-2,C5.ant_med_post_med_nasal,m,2,1
196,4,nasal,curve,C5.Nasal-3,C5.ant_med_post_med_nasal,m,2,1
197,5,nasal,curve,C5.Nasal-4,C5.ant_med_post_med_nasal,m,2,1
198,6,nasal,curve,C5.Nasal-5,C5.ant_med_post_med_nasal,m,2,1
199,7,nasal,curve,C5.Nasal-6,C5.ant_med_post_med_nasal,m,2,1
200,8,nasal,curve,C5.Nasal-7,C5.ant_med_post_med_nasal,m,2,1
201,9,nasal,curve,C5.Nasal-8,C5.ant_med_post_med_nasal,m,2,1
202,10,nasal,curve,C5.Nasal-9,C5.ant_med_post_med_nasal,m,2,1
203,1,nasal,curve,C6.Nasal-0,C6.post_med_post_lat_nasal,l,2,1
204,2,nasal,curve,C6.Nasal-1,C6.post_med_post_lat_nasal,l,2,1
205,3,nasal,curve,C6.Nasal-2,C6.post_med_post_lat_nasal,l,2,1
206,4,nasal,curve,C6.Nasal-3,C6.post_med_post_lat_nasal,l,2,1
207,5,nasal,curve,C6.Nasal-4,C6.post_med_post_lat_nasal,l,2,1
208,6,nasal,curve,C6.Nasal-5,C6.post_med_post_lat_nasal,l,2,1
209,7,nasal,curve,C6.Nasal-6,C6.post_med_post_lat_nasal,l,2,1
210,8,nasal,curve,C6.Nasal-7,C6.post_med_post_lat_nasal,l,2,1
211,9,nasal,curve,C6.Nasal-8,C6.post_med_post_lat_nasal,l,2,1
212,10,nasal,curve,C6.Nasal-9,C6.post_med_post_lat_nasal,l,2,1
213,1,nasal,curve,C7.Nasal-0,C7.post_lat_ant_lat_nasal,l,2,1
214,2,nasal,curve,C7.Nasal-1,C7.post_lat_ant_lat_nasal,l,2,1
215,3,nasal,curve,C7.Nasal-2,C7.post_lat_ant_lat_nasal,l,2,1
216,4,nasal,curve,C7.Nasal-3,C7.post_lat_ant_lat_nasal,l,2,1
217,5,nasal,curve,C7.Nasal-4,C7.post_lat_ant_lat_nasal,l,2,1
218,6,nasal,curve,C7.Nasal-5,C7.post_lat_ant_lat_nasal,l,2,1
219,7,nasal,curve,C7.Nasal-6,C7.post_lat_ant_lat_nasal,l,2,1
220,8,nasal,curve,C7.Nasal-7,C7.post_lat_ant_lat_nasal,l,2,1
221,9,nasal,curve,C7.Nasal-8,C7.post_lat_ant_lat_nasal,l,2,1
222,10,nasal,curve,C7.Nasal-9,C7.post_lat_ant_lat_nasal,l,2,1
223,1,nasal,curve,C8.Nasal-0,C8.ant_lat_ant_med_nasal,l,2,1
224,2,nasal,curve,C8.Nasal-1,C8.ant_lat_ant_med_nasal,l,2,1
225,3,nasal,curve,C8.Nasal-2,C8.ant_lat_ant_med_nasal,l,2,1
226,4,nasal,curve,C8.Nasal-3,C8.ant_lat_ant_med_nasal,l,2,1
227,5,nasal,curve,C8.Nasal-4,C8.ant_lat_ant_med_nasal,l,2,1
228,6,nasal,curve,C8.Nasal-5,C8.ant_lat_ant_med_nasal,l,2,1
229,7,nasal,curve,C8.Nasal-6,C8.ant_lat_ant_med_nasal,l,2,1
230,8,nasal,curve,C8.Nasal-7,C8.ant_lat_ant_med_nasal,l,2,1
231,9,nasal,curve,C8.Nasal-8,C8.ant_lat_ant_med_nasal,l,2,1
232,10,nasal,curve,C8.Nasal-9,C8.ant_lat_ant_med_nasal,l,2,1
233,1,frontal,curve,C9.Frontal-0,C9.ant_med_post_med_front,m,3,1
234,2,frontal,curve,C9.Frontal-1,C9.ant_med_post_med_front,m,3,1
235,3,frontal,curve,C9.Frontal-2,C9.ant_med_post_med_front,m,3,1
236,4,frontal,curve,C9.Frontal-3,C9.ant_med_post_med_front,m,3,1
237,5,frontal,curve,C9.Frontal-4,C9.ant_med_post_med_front,m,3,1
238,6,frontal,curve,C9.Frontal-5,C9.ant_med_post_med_front,m,3,1
239,7,frontal,curve,C9.Frontal-6,C9.ant_med_post_med_front,m,3,1
240,8,frontal,curve,C9.Frontal-7,C9.ant_med_post_med_front,m,3,1
241,9,frontal,curve,C9.Frontal-8,C9.ant_med_post_med_front,m,3,1
242,10,frontal,curve,C9.Frontal-9,C9.ant_med_post_med_front,m,3,1
243,1,frontal,curve,C10.Frontal-0,C10.post_med_post_lat_front,l,3,1
244,2,frontal,curve,C10.Frontal-1,C10.post_med_post_lat_front,l,3,1
245,3,frontal,curve,C10.Frontal-2,C10.post_med_post_lat_front,l,3,1
246,4,frontal,curve,C10.Frontal-3,C10.post_med_post_lat_front,l,3,1
247,5,frontal,curve,C10.Frontal-4,C10.post_med_post_lat_front,l,3,1
248,6,frontal,curve,C10.Frontal-5,C10.post_med_post_lat_front,l,3,1
249,7,frontal,curve,C10.Frontal-6,C10.post_med_post_lat_front,l,3,1
250,8,frontal,curve,C10.Frontal-7,C10.post_med_post_lat_front,l,3,1
251,9,frontal,curve,C10.Frontal-8,C10.post_med_post_lat_front,l,3,1
252,10,frontal,curve,C10.Frontal-9,C10.post_med_post_lat_front,l,3,1
253,1,frontal,curve,C11.Frontal-0,C11.post_lat_ant_lat_front,l,3,1
254,2,frontal,curve,C11.Frontal-1,C11.post_lat_ant_lat_front,l,3,1
255,3,frontal,curve,C11.Frontal-2,C11.post_lat_ant_lat_front,l,3,1
256,4,frontal,curve,C11.Frontal-3,C11.post_lat_ant_lat_front,l,3,1
257,5,frontal,curve,C11.Frontal-4,C11.post_lat_ant_lat_front,l,3,1
258,6,frontal,curve,C11.Frontal-5,C11.post_lat_ant_lat_front,l,3,1
259,7,frontal,curve,C11.Frontal-6,C11.post_lat_ant_lat_front,l,3,1
260,8,frontal,curve,C11.Frontal-7,C11.post_lat_ant_lat_front,l,3,1
261,9,frontal,curve,C11.Frontal-8,C11.post_lat_ant_lat_front,l,3,1
262,10,frontal,curve,C11.Frontal-9,C11.post_lat_ant_lat_front,l,3,1
263,1,frontal,curve,C12.Frontal-0,C12.ant_lat_ant_med_front,l,3,1
264,2,frontal,curve,C12.Frontal-1,C12.ant_lat_ant_med_front,l,3,1
265,3,frontal,curve,C12.Frontal-2,C12.ant_lat_ant_med_front,l,3,1
266,4,frontal,curve,C12.Frontal-3,C12.ant_lat_ant_med_front,l,3,1
267,5,frontal,curve,C12.Frontal-4,C12.ant_lat_ant_med_front,l,3,1
268,6,frontal,curve,C12.Frontal-5,C12.ant_lat_ant_med_front,l,3,1
269,7,frontal,curve,C12.Frontal-6,C12.ant_lat_ant_med_front,l,3,1
270,8,frontal,curve,C12.Frontal-7,C12.ant_lat_ant_med_front,l,3,1
271,9,frontal,curve,C12.Frontal-8,C12.ant_lat_ant_med_front,l,3,1
272,10,frontal,curve,C12.Frontal-9,C12.ant_lat_ant_med_front,l,3,1
273,1,parietal,curve,C13.Parietal-0,C13.ant_med_post_med_par,m,4,1
