"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.000948470607371839,-0.00662498894013336,-0.000946695154092259,-0.00695032533060061,-0.00175708006923039,-0.00155541437688953,0.000561298826605452,0.00488680110161284,-0.00152157338818625,-0.00302199414413626,0.0028418134561816,-0.00355841846703074,0.00617295405781195,-0.000834574727464331,0.00224604644280911,-0.000774539593295223,0.000543598450121533,-0.000793678009825025,3.41767221243083e-05,0.000787404914222782,-0.00192403920819198,0.00211463452672813,-0.000446664088456486,-0.00033727024739362,-4.14885845103829e-05,0.00115865168861042,-0.000263107475834899,-0.000247653145204116,-0.000451067792261889,-0.000533952296566396,-0.000148154719477208,-0.000460180965446828,0.000226008236997465,3.49054539667377e-05,0.000172866321666919,0.000237121269719161,0.00016420129446536,-2.06805090209268e-05,-2.56146301060888e-05,4.83620264061129e-06,-0.000105731376067583,-2.37781249014639e-05,-5.93494501020902e-05,-9.04583620739138e-05,-4.31737076388255e-05,-1.99081664449309e-06,-3.80659923614329e-06,-6.58599083033896e-06,-4.60001334054209e-06,-5.64505413076355e-06
"Liodytes_alleni",0.0038751694555841,-0.00314214698688129,-0.000606830280622619,0.0014963157830917,0.0016098992727682,0.00283009770095685,0.00218416542688943,0.000388239129774056,0.000242455110383476,-0.00024208555051958,0.000618313336081722,-2.99414052015067e-05,-0.00404577839148349,0.00216801607222588,0.000249422670502465,7.2811772567968e-05,-0.000207672820087713,-0.000296929092801559,-0.000760554998144383,0.000230085429367708,0.000938743440761009,-0.000369915921899533,0.000220600644194609,1.13613397496903e-05,-0.0002548312065848,0.000106342919886438,0.000161823620805898,0.00010414321811708,-0.000844385204884614,0.000665841979328702,-0.000403452777362218,0.000561210960396057,0.000734156793950884,-0.000171980821057109,8.32522146596457e-05,-0.000275666016747219,9.38905328492391e-05,0.00042592014134568,0.000375834934107382,0.000232020878641479,7.79500159558974e-05,0.00030102137973052,0.000273889556582176,0.000133320808383004,-0.000929746073222511,-0.000519676198801054,-0.000237141709513582,-0.000996500533462564,-0.000300612828399307,-6.68921293002289e-05
"Liodytes_rigida",0.00098894395119234,-0.00269078176961347,0.000843694674840879,-0.00151914637546886,-0.000114577049132226,8.97461715178453e-05,-0.000903649280299898,-9.64866261282126e-05,0.000647555468952088,-0.000193984665255089,-0.000785214011216455,-0.000177942602097261,-0.00109507367803307,0.00105405812646268,0.000454239911453688,0.000255405335452202,0.00179090236492092,-0.00041352993533409,-0.00114786932402259,-0.000479550452584235,0.000938511691481625,0.000416675508119119,-2.06379539627256e-05,-0.000557986251483287,0.000850836285885974,-0.000670069463827077,-0.000841084207499945,-0.000458733869233348,0.000249698593973586,1.21497073565017e-05,0.00081118684667767,0.000111457580894538,0.000209094554890587,-0.000210683556030125,0.000591741602450436,-0.000161194074499579,0.00018347747634164,-0.000343392902395427,-0.000181233531093035,-9.68469654691695e-05,-0.000217247273664069,-0.000135108433792877,-0.000223342862988911,-0.00018801543594151,0.000912281118175195,0.000536897068538885,0.000293404577316437,0.000998322046929905,0.000297711846700513,8.11824161452335e-05
"Nerodia_clarkii",0.000599397621303869,0.00758219029178335,-3.94817026262027e-05,3.87105482283164e-05,-0.00343221664164492,0.00206309087690798,0.00438114043294003,0.00241263006050088,-0.000107217468493461,0.000615558889027581,-0.00067517875478609,-0.000639745164594381,0.00378243165571952,-0.00156515403156314,-0.000319414360761884,0.00287255669075902,0.00096822524991038,-0.000779725910962369,-0.000125934731824142,-0.00131551583515729,0.00178832683031216,-0.000520534917148356,-0.000433320114973504,-0.00076752669142343,-0.000184756363180404,-1.05649771007508e-05,-0.000570758141651362,-8.69083621319414e-05,0.000521584778466721,-0.000318183534149642,7.19407325779348e-06,-9.62763409884988e-05,0.000588277535563939,-0.000442577161725308,-0.000606667855416885,0.000441936658187327,-0.000181863001264319,0.000186855605006655,1.10513287635354e-05,0.000341407870425683,-0.000131244059490867,-0.000412760438322175,0.000553249375149354,0.00062968263406078,-0.00113718058162479,-0.000288026106944155,0.00010144449391214,0.000574807006539395,-0.000116277381442993,3.56561806836585e-05
"Nerodia_cyclopion",0.00369125945153156,0.00154555498046007,0.000638365199924574,0.000277304291578655,0.00195138927011029,-0.000133261847416689,-0.00223605358944987,0.000725510181937231,-0.000593320937166735,-0.00188562520981004,-0.00102927887219384,-0.00117440544591824,-0.000846700637740563,0.000441185128692179,-0.000183453630506903,0.000810399549048298,0.000748429403209955,0.00124580872123751,0.00110624440615912,-0.000107707446374476,0.000452715623354447,-0.000254153376880132,-9.40507612749172e-05,-0.000860921452051327,4.80100391705374e-05,7.2040477301404e-05,0.000270025762365131,0.000142520380089075,0.000140701040349211,-0.000262686213734357,-1.01785292723581e-05,-0.000238355563067454,0.000856359690401596,0.000407805692649152,-0.000589144552996473,0.000324379700858605,-5.5868971832292e-05,-0.000141563461828034,0.00031082186186471,0.000105465363911435,0.00019971916527305,0.000184921613125149,7.47901313878977e-05,-0.000172433500939977,4.74730616026801e-05,-5.72055703071801e-06,-1.46207348867955e-05,1.06983807268089e-05,1.38873980625291e-06,7.04508530996856e-06
"Nerodia_erythrogaster",0.0006676758454549,0.00315860941630544,0.000973155943625661,0.00156164721036301,-0.00238986821158257,-0.00105912355821552,-0.000285390237120235,0.00132204288884299,0.000685134950302135,-0.000357843386298671,-3.79482823302363e-05,-0.000518113409436688,0.00128704552399652,0.00124256602482971,-0.00141928448116505,0.00114941276033281,0.00144903536639028,-0.000114635056559826,-0.000472808699638955,0.00166155271968332,-0.00010688527563678,0.000385423258662662,9.78637309251032e-05,-0.000256400972145731,-0.000507399283849073,-0.00100018070612512,0.000442853820658513,0.000553990938505504,-8.67776758998251e-05,-0.000398103230565682,0.00024502640130826,1.5760518388049e-05,-0.000196355748018972,0.000190583766581235,0.000223002403157847,-7.19605604626165e-05,7.08179641433469e-05,-8.36981622875812e-05,7.82965369557238e-05,2.07039974687387e-05,4.52628057019629e-05,1.70301530914116e-05,-1.4490840796994e-05,4.83548241499618e-05,-2.62369132540445e-05,1.63753636546611e-05,3.92806190842182e-06,-5.96914051048316e-06,3.13187582671661e-06,-5.42548855932314e-07
"Nerodia_fasciata",0.00202905142126963,0.00382450358076745,-0.000525557125814578,0.00122264465468658,-0.00240785886885979,-9.94201005835786e-05,0.000840134330595481,-0.000925581291598872,0.000447741727144369,0.000351612074879132,2.08585703346705e-05,0.00116776983306982,0.00094891070346926,-0.00218246969108804,-0.000621193550663601,-0.000206662846907561,-0.000926248068444508,0.000284384822773331,0.000355924777045711,0.000761738188062209,0.000226630027219156,0.000410393132575037,-8.73550142779466e-05,0.000255393689192384,0.00124956976450162,-1.66483316052711e-05,0.000227745751543148,0.000300505829732991,-0.000179053581470759,0.000615766311490852,-0.000165396359591049,0.000163107992436515,-0.000533170938553714,0.000134535711037361,0.000637300754192376,-0.000210705705572447,6.73776142096732e-05,-0.000180365493540228,-0.000102040769245088,-0.000366280132192373,3.24773784767427e-05,0.000509505494200408,-0.000576269472954194,-0.000632718875094183,0.00113752255451048,0.000304746158181204,-7.57813718904201e-05,-0.000611518307827674,0.000121417975612003,-3.69418668373002e-05
"Nerodia_floridana",0.00538830758136648,0.00215078989047324,0.00176937633479963,-0.00185480323671148,0.00107768310685893,-0.00253244170976693,-0.00240932623354847,0.00213304898965943,5.80307879137793e-05,-0.00274382163675998,-0.00129214448567951,0.000143691216637425,0.000781267188065029,-0.000713768249333559,8.1680825084267e-05,-0.000456016708841053,-0.00115640569121707,-0.000736210984670675,-0.00112339173761891,2.52955136749343e-05,-6.04901775749349e-05,9.76322723405281e-05,0.000168014743464304,0.00110979610462525,2.65298976901379e-05,4.17310765776187e-05,-0.000224026387574334,-0.000174009104868502,-8.54712844990038e-05,0.00027422439572717,-2.71364663414505e-05,0.000295630387911962,-0.000810862716334397,-0.000462896793545166,0.000561615069077541,-0.000316760385719739,5.00245715980565e-05,0.000133616009181936,-0.000315915715955666,-9.47735642384225e-05,-0.000188443136506878,-0.000180182307222682,-6.4919780824166e-05,0.000165906702109125,-4.11887809116157e-05,7.20069271544229e-06,1.07316226133419e-05,-1.01027686879364e-05,-2.54000394135585e-06,-7.71501011374855e-06
"Nerodia_paucimaculata",0.00508434605741819,-0.000151046156001302,-9.67809812360719e-05,0.000553766589309629,0.00207551180756633,0.000466326495816881,0.000549887214384052,-0.00131588966350504,0.00147902979382796,-0.000273413801068506,0.00123673298512384,-0.000668133409022666,-0.00202744492036875,-0.00109149950144181,-0.00184705613621521,-2.14490989952559e-05,0.000176336924944368,-0.000875889688639384,-0.000905413477177273,-0.00140215636738349,-0.00109344223066857,-0.000132372980961604,0.000458796854771939,0.00151886673808587,-0.00017316968883736,6.79023893150781e-05,0.000345399200480229,-0.00107313591511566,-0.000639135751232121,2.68716165303824e-05,0.000414433710837532,-0.000389007879141985,0.000180531251747142,0.000487873052484907,-0.000406765379861129,-0.000193868298419662,2.12917088026608e-05,8.59576498859492e-05,5.69388702477741e-05,-5.49260447795367e-05,-0.000231028819342487,-5.26870827397995e-05,1.42117011069669e-05,-0.000125672764380949,-1.89708014805261e-05,-2.95603393490617e-06,-1.6308911683062e-05,1.31996177596345e-05,-4.80143307271599e-06,5.76073241016308e-06
"Nerodia_rhombifer",0.00645976233035641,-0.000268367314612781,-0.00169987689144979,-0.00104030213120935,0.00138017494878956,-0.000278765395449252,0.000672164325490202,-0.00119536048112787,-0.00256549548084047,-0.00037997329098987,0.00191672206460981,0.00116824481263506,-0.000707881407971956,-0.000330993971692054,0.000730112616989256,-0.000743525324413802,0.000992097285294105,0.000976083541766927,-0.000365306954253589,0.000112998231910684,0.000377250355867825,-0.00137992400342565,-0.00128216427186884,8.69386397731713e-05,0.000974042929385758,-0.000249106224222603,-9.59373353718651e-05,-0.000425331984323757,-0.000598115997684236,-0.000901304656525634,-0.000725212935827799,-0.000427162314839604,0.000328360323239249,0.000498606193517426,0.000649716432371381,-1.13009998968711e-05,-0.000474548539224484,0.000133804473470139,-0.000305409620135344,-4.92150061401086e-05,0.000205432244710413,-0.000231370699732761,6.64559049640693e-05,4.73791800572762e-05,1.1100401009266e-05,-9.73291655731372e-06,3.04221067705049e-05,-2.49093330382694e-05,2.65593607369048e-05,8.03284645254916e-06
