"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.00210268940740071,-0.00135891117887074,-0.00230025571194629,-0.00242445869101293,-0.00131799556406272,-0.00123041963690234,0.000304637519600365,-0.0020510891406671,-0.000260772415549265,0.000358436758431907,-0.000807922939478943,3.62028842855787e-05,0.000369584261549168,-0.000934083990669048,0.00101978257100515,-0.000248118057357635,0.000199615694161776,-0.000487065783520309,0.00024450268464594,-4.41128941690924e-05,0.000203325880848402,0.000688985112835276,-0.000326804570191668,-0.000384324826119179,0.000328797628847547,4.54899075202729e-05,-8.59548691079514e-05,-0.000167343610729202,-0.000105679954732697,-1.25415524361062e-05,0.000122774236231331,2.28821005555948e-05,2.15144125075119e-05,6.28534877741966e-05,4.40141510689742e-05,6.34495539857514e-05,1.47013616105167e-05,-2.46326062939944e-06,-4.43874941546568e-05,-3.42775026796368e-05,-3.33642034296796e-05,-2.16094431137978e-05,-4.92236960998e-06,-4.58407525533907e-06,-1.44119809018332e-05,-8.24997834136553e-06,-4.81419570744309e-06,-5.84231629852029e-06,-5.93960892101407e-06,-1.18870176884595e-06
"Liodytes_alleni",0.00034692161231199,-0.00657872171457648,0.00113310434726517,0.000350227628656933,-0.00211200256204768,0.00083958903946049,-0.00118731049742087,-0.000230753422852715,-7.26751009165396e-05,-0.000847064511967788,0.00131079421119948,-7.33718978562058e-05,-0.000525950640514646,0.00148994479490459,-0.000915720427776773,-0.00045524506137188,0.000484675605243014,-0.000282190828250404,0.000122095525996348,0.000284028490396568,0.000178349909035729,4.41279843750522e-05,0.000286212118410694,-0.000133957943056862,9.83976304741283e-05,-0.00053621477559391,0.000294968160638313,-0.000242279263720483,0.000241005172870822,7.90969185009069e-05,-7.8084114699176e-06,-0.000201959812760901,0.000138119060807151,-0.000152861447720542,0.000467762277197047,3.26477748119889e-05,0.000194020151827705,-0.000163221695661034,3.28233080526201e-05,0.00010482068710666,-3.63165552469867e-05,0.000347417618970156,1.29916403873241e-05,-0.000128847433515968,-0.000217088504793449,2.99628321532061e-06,3.63576659304892e-05,0.000159481524950681,-4.40688815291864e-05,4.75180888697213e-05
"Liodytes_rigida",-0.0012638111128243,-2.85973862679244e-05,0.00239767079624689,1.05884284557699e-05,-0.000790840632427115,0.00114727502973815,-0.000852119327910125,0.000711452639159254,-0.000347749752178096,-0.000483711932768406,6.20028767905071e-05,-8.65465456455686e-05,-0.000877283662567237,4.71472445215885e-05,0.000372986249607106,0.000308291068162415,0.000303681600073852,0.000386329181938103,-0.000234561107115367,-9.05410470216836e-05,-6.84157565668689e-05,-0.000152400570607647,-0.00019396989478914,0.000278126412209554,-8.08642224711092e-05,0.000154090195306958,-0.000262468999270396,0.000361631177357968,-0.000104758782839465,3.99009060138482e-05,-7.97852377337544e-05,0.000135269494026881,-5.81724667644161e-05,2.87159291877986e-05,-0.000342439388560026,0.000110644274092348,-7.3430127216096e-05,0.000222498692244933,-4.68252217691126e-05,-0.00011505249737749,1.12065547690661e-05,-0.000348262238527536,-1.85489618069222e-06,0.000161308903556514,0.000227248962496765,-7.46315130237687e-06,-4.97217336184783e-05,-0.000182174978696839,4.93836003878241e-05,-5.41950083646452e-05
"Nerodia_clarkii",-0.00277063850613791,-0.00118216092201543,0.00223726198551153,0.00053795761907186,-0.000227470201235969,-0.00117569021982194,-0.000280111074209884,0.000632119230054584,-0.000453377491839452,2.24900310990907e-05,-0.000919477826292708,4.27020150473988e-05,-0.000845394679106324,-7.3758986718707e-05,0.000569676838031801,0.000680261595387265,-5.25256865835613e-06,0.000199413792634942,0.000141960523676051,0.000356310180561967,-0.000196156405063962,0.000214814979252958,-0.000281511893208716,0.000166083156676441,-0.000164112126372208,3.22727061401513e-05,0.000126384971378341,0.000499178732249388,2.04414742393275e-06,0.000345400164161095,-3.00048977925773e-05,7.94285217145129e-05,-0.000108598836471034,4.50265571386687e-05,-0.000167238359425518,0.000350282321120925,0.000246327025920309,4.79597010391659e-05,9.37818700417664e-05,5.2689080818364e-06,0.000173124193061358,-0.000293968658493708,1.73299649722518e-05,-0.000216149309969509,-5.01129934980847e-05,-1.81924008911526e-05,0.000154295274137793,5.51136615515047e-05,-2.53582731255041e-06,5.32953117639275e-06
"Nerodia_cyclopion",-0.00155633904339897,0.00157741960410567,-0.0018014623067424,0.000850320713207639,0.00161478061018111,0.000241699113994692,-0.000622618064228331,8.56989703688469e-05,-0.00026624711996128,-0.00028043761683043,0.000186032784432309,0.000481901342288706,0.000101602081797764,-0.00050461793315531,4.12653989949795e-05,-0.00016113354024807,0.000132855699189761,-0.000118802525284578,0.000138153876429933,-0.000108354900354808,0.000155605126643285,-0.000113695148964558,-0.000211914849237929,-0.000194743811555408,1.45633579417088e-06,-0.000179300319168369,-7.54751920672613e-05,0.000127232689275098,0.00017240826940637,-0.000112581207498414,-0.000219945102544874,-0.000168113893532345,7.50151004173331e-05,0.000124421810224114,-0.000103042129962292,-2.98824758471152e-05,4.79619941163557e-05,-2.15277914863349e-05,-3.62099015186644e-05,6.95610654004369e-06,6.13219335523244e-06,7.24465200276576e-06,3.80030922788586e-05,-1.62766740884151e-05,2.22348279923521e-05,1.9843131153436e-07,-4.79171583802548e-06,7.81787073648493e-06,-3.87465722283084e-06,2.93648832364136e-06
"Nerodia_erythrogaster",-0.0020658592802848,0.00209445916545823,-0.00105641925934978,0.000584625122518237,0.000849767018466823,-0.00128398041471808,-0.000133006478431543,0.000133358056436482,-0.00102170255559723,0.000383439679088924,0.000245992305237997,-0.000331695448172868,-6.86463194136571e-05,-0.000360479480512128,0.000383910819829887,-0.000244139171368132,-0.000192561945387109,0.000287853945153318,1.4429941459411e-05,0.000238820222518492,0.00020873076151718,-0.000178610060697916,-9.16302996331186e-05,-1.87664885002906e-05,0.000135509094546271,-0.000197595258282589,0.000250727043223856,0.000137093647788337,-2.55403371999877e-05,-0.000140625674620314,6.13667349769144e-05,6.39834625958915e-05,2.9330335179943e-05,-4.68322447444426e-05,-1.69397660906551e-05,2.25882096807479e-05,-5.48273864117536e-05,2.95534336774059e-06,2.75043332794675e-05,-2.24212546291812e-05,-2.25752352399927e-05,7.18885979226333e-06,-7.84455689674892e-06,-5.06583443453386e-06,2.35693590633866e-06,-1.21604751455464e-06,3.29495342999144e-06,1.13004265415463e-06,5.53290666978299e-07,3.43055105028457e-07
"Nerodia_fasciata",-0.00580783645060026,0.000903770757992554,-0.0018488205488911,0.000184752894363674,0.00235177156140049,0.000137232145257818,0.000332891456902238,0.000633843934549845,-0.000521164906792658,0.000970771250839745,-0.00052228775970486,-0.000463134511069179,0.000517691080141724,-0.000162032505622246,3.91502822046428e-05,0.00014297428485177,-0.000262499261078763,-2.71702124301044e-05,-5.28901110514019e-05,-0.000462032395779453,-0.000221233701625127,-0.000277792684215256,-0.000123714265462911,9.65661535200706e-05,0.00029864785413133,-0.000166967935605312,-0.000291053511202665,-0.000464565784292858,-1.15422911803704e-05,-0.000123326654578698,-4.8097846739013e-05,-7.38738975630831e-05,0.0001131781166592,2.02700327008616e-06,0.000228993805989718,-0.000323696491675362,-0.000225581897136489,-3.73706741321291e-05,-7.17773711554212e-05,1.05185931700163e-06,-0.000164667459477106,0.000330997007969803,-7.98221309232706e-06,0.000216595115449452,6.22394792660879e-05,2.55712199082062e-05,-0.000149095438503391,-5.31767749515345e-05,2.61586065027167e-06,-2.74812369240537e-06
"Nerodia_floridana",-0.00289437594764539,0.00132097888251675,0.000728755295762172,0.000297542618216917,0.000406048790292039,-0.000962087847474113,-0.000903255246151653,0.000378985241112433,-0.000723435488543428,-0.000888816640916011,-0.000641298756808388,0.000682904503645138,0.000360896172120657,0.000347111440227586,-6.70422274633284e-05,0.00024396845470353,3.74037953569221e-05,0.000252696110839739,-0.000155454279903053,0.000208957068779018,-0.000171986699035323,0.00011403067575699,0.000199051112895421,0.000174352656492641,-2.18504096146369e-05,0.000165130061014704,5.41179064318323e-05,-0.000168430423863545,-0.000183210615223814,0.000118440355906303,0.000179735119003485,0.000146622999954705,-7.95299493680484e-05,-0.000120380266837476,0.000100192989953443,2.8341011754947e-05,-4.28828185199876e-05,1.76678022203139e-05,3.12096131318895e-05,-1.52991170441057e-06,-6.3665883837675e-06,-6.40705148346531e-06,-3.67139535585575e-05,1.63195554747899e-05,-2.13451644412926e-05,-6.9166797241202e-07,5.32884859801061e-06,-8.44954977189127e-06,4.20410762784028e-06,-2.87210468377881e-06
"Nerodia_paucimaculata",0.00129207132286894,-0.00322804895192683,-9.46107909772495e-05,0.000887800647105835,0.00159980553552249,0.000501657533762678,-0.000511944862848928,-0.00138610221333554,0.000615029062223771,0.000211581526248248,0.000521947745072457,0.000351047787453669,0.000815267210355415,0.000329142056202354,-0.000234072176188473,-0.000388341701711828,0.000406071783014865,8.72158150226516e-05,-0.000181306617407594,-0.000368594164277795,-5.93699237846044e-05,0.000457471204194069,0.000434943093608473,-7.93202602041731e-05,-9.96080876552198e-05,-3.68157855097316e-05,-0.00015975780915946,0.000246065269293307,0.000229533134574817,-2.1246520407474e-05,4.98004911371826e-05,0.000149860446005885,-7.02844505932276e-05,-1.85955581037159e-05,-2.32830300073708e-05,-3.73686124004123e-05,-6.69438238092294e-06,-2.85219892739703e-05,-3.55231091245658e-05,-2.77906505134804e-06,-5.74757176114338e-06,-2.65812552902046e-07,1.03001240576884e-05,-1.36879218236628e-05,-1.00342316855602e-06,6.3730919471984e-06,-1.25265522781803e-05,1.25185574650426e-06,2.01195917541845e-06,-5.33758342683703e-07
"Nerodia_rhombifer",0.00120692874876631,-0.000727621471232712,0.00137138354640206,0.00166275050726509,0.00160621533744806,0.00223136221212883,-0.000889960737236719,-0.000273676139394412,0.000340744247042758,-0.00027287466927511,0.00132481536991899,0.00048424037613046,-0.000354459049668971,-0.000116891500142965,0.000386449126037738,-0.000209421006758746,-3.92024310835414e-07,-0.000482592108854648,0.000117536521314364,0.000172151010581802,0.000421107496935769,-9.53447587292383e-05,-1.71578538914211e-05,9.50709349108485e-05,-0.000373867646537506,1.98019886829655e-05,-9.55925903950951e-05,3.09645623405589e-06,-0.000103007766623676,0.000216768192096761,-5.10498924834493e-06,0.000166463476012239,9.85472086522147e-05,0.000126681764430606,8.11558502733809e-05,1.75006696256186e-05,-9.0194442369182e-05,-9.0642782677758e-05,6.3022438963621e-05,-1.16991401640308e-05,-1.54431291372275e-05,-5.71407064243063e-06,6.53311941527572e-05,-9.84884565705119e-06,2.04525306237051e-05,-8.06508049979606e-06,-9.64127614489027e-06,2.22296346598929e-06,1.47518046987675e-06,3.04359483315142e-06
