"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.000223708398665668,0.00135717709958463,-0.00223058689529738,0.000622552353856128,-0.00280484308513084,0.00271626942178995,-0.00105175689795453,0.00108758450753831,-0.000651774239458533,0.000610601571920711,-0.000396242268560324,0.000174927971884747,-0.000819657179752208,0.000988036525769672,-5.10928324312706e-05,1.88090604342312e-06,-0.000228439673637062,7.12252251562648e-05,-0.000271265618798058,0.000246523866743612,-5.08790708116033e-06,-0.000144821029995599,6.0757376258805e-05,0.000162534465741635,3.58612784502443e-05,-4.08417865598453e-05,-0.000128245598249497,-0.000230907808118754,0.000171678272853359,0.000101201882642733,0.000240642744741355,4.79655375698126e-05,0.000117071623641432,-0.000180108127212391,-7.55266921684074e-05,-7.51685236155761e-05,-6.16597138155248e-05,-1.56288597714193e-05,-0.000118966596857935,-0.000145091321367561,-5.93202843426082e-05,-0.000126301098629799,5.40998185209698e-05,9.37522077854613e-05,9.03556849708372e-05,0.00013335578364486,6.29519972446801e-05,7.03248633890119e-05,4.34835547846917e-05,1.78109478181e-06
"Liodytes_alleni",0.00503507551099772,-0.00265147034089633,-0.0030653210256336,-0.000688644748555357,0.00249460970796193,0.00206944423959285,-0.000413202269193774,0.00175008642809011,-0.00126414946218286,-0.000503102587581509,0.000606436632443028,0.000263501165161563,0.000177043965716106,-0.00039104088093309,-0.000174383318249985,0.000480500570063597,-0.000243585243633748,-0.000239005855833716,0.000231236525610872,-5.50717675030009e-05,0.000123617117249631,1.64079257660839e-05,-6.28998265272847e-05,-1.37718245985798e-05,0.000247077701395989,-0.00012564027178405,0.000208175569334313,-0.000110922945429958,0.000190023956963364,0.00015006427588478,4.79323158539019e-05,7.40795841037307e-05,9.66219338008492e-05,-0.00016010088459875,-0.000213937110324607,-7.80302250561064e-05,-1.50497080075677e-05,-3.48399394714928e-05,-8.46977689323676e-05,-0.000122091234958636,-9.86213543471785e-05,-8.5935639775904e-05,5.04558443784193e-05,8.73918268127217e-05,7.7449314647681e-05,0.000139356000399681,8.25501124461271e-05,6.6904289194682e-05,5.83422580510705e-05,5.16288652942346e-07
"Liodytes_rigida",-0.0009112350767918,-0.0028868135111252,-8.49152449659507e-05,0.000801657568730707,0.000763633006228802,-0.00067375949069677,0.000183020932505044,0.000907564121870729,-7.60305539168745e-05,0.00025131780468393,0.000162874242686414,3.29082929601633e-05,-0.000410105593152823,-0.000419733545553867,-0.000488317843499346,0.000570684478774247,-3.48396870880806e-05,-0.000207173949508281,0.000315634771588236,-0.000119023104808863,0.000188196771015431,-5.14617496142125e-05,-8.84069134719148e-05,-2.89232301228232e-05,0.000291037057963492,-0.000157542963383471,0.000210182792859907,-0.000139551079985241,0.000206562294565944,0.000137895572764167,2.25566730179667e-05,8.89592277035918e-05,9.84854438973292e-05,-0.000166609350423275,-0.000256843813640106,-8.33871826542577e-05,7.76939547854275e-06,-3.78756316905991e-05,-9.92738127743048e-05,-0.000125094405037999,-9.61369153141171e-05,-8.71702797530988e-05,4.26887029944508e-05,9.89592372255601e-05,8.22383871126138e-05,0.000142828017042868,9.22178557494766e-05,6.93575218676052e-05,6.46206776339168e-05,2.56251337122556e-06
"Nerodia_clarkii",-0.00126646590995318,-0.00237536601281142,-0.00274017669371526,-0.000459179156017611,-0.000426361826410435,-0.00125909162217141,0.000362646253146639,0.000678546623555183,-0.000337781975230236,0.000508693956358335,0.000617677896306148,-0.000214487414420865,0.000178593728997895,-0.000125129788597141,-0.000241846140459238,7.74412480192995e-05,-4.1213787340204e-06,7.98613377129512e-05,8.97195140857266e-05,-0.00011796541687259,-6.60803059872963e-05,-0.000313273652290348,-8.2547959061154e-05,0.000137940723768078,0.000469881931517921,-0.000141364670452684,-0.000206732426707947,-9.40742814991739e-05,7.11939267639133e-05,0.000168895854129937,-8.37001700246427e-05,0.000153613665765006,-8.66147781433243e-05,-0.000139876804852004,1.91366394679316e-05,-0.000123937199682424,0.000114306112749402,-5.54512810955009e-05,0.000109549274282,-0.000102950478277925,0.000131104471123094,-1.9601524053117e-05,5.27532333194628e-05,-5.97417628221475e-05,4.56028180749026e-05,-0.000124093742312512,-7.37060620418977e-05,-1.89006313010532e-05,-0.000137132989328958,1.87420631131564e-05
"Nerodia_cyclopion",-0.00171897923370671,0.00229904114992873,7.59952836207486e-05,0.00109207410801719,0.00072455858495817,-0.00115985207911849,-0.000385464185016395,0.000243847382958515,-0.000436890046056659,0.000260687041951325,1.09380327520963e-05,0.00016138014585224,2.9740618308921e-05,0.000260502176317232,-0.000208024659135908,0.000140327060050938,-0.000285058236837864,7.57412147645555e-05,-0.000116083361008817,4.31527115452831e-05,-0.000507715958071722,-7.51184793979021e-05,-5.1467220402719e-05,2.40979214953563e-05,-0.000110936659458007,-6.82751555858709e-05,4.21634677596814e-05,0.000211404478758676,-6.24251223749033e-05,-7.21437063568366e-05,-0.000226558088322526,-5.58474105021953e-05,0.0001447856292324,0.000225579465409067,-5.61034607726376e-05,-0.000165410371731218,-0.000113431154173266,-0.000145470647390057,0.000137925098340866,5.4165489352478e-05,4.00893353727483e-05,-0.000188312341471654,5.72060334004284e-05,7.16019873983216e-05,-2.91514159269863e-05,-0.000162485780977553,8.13924062350777e-05,-5.89301990458702e-05,-3.42095939664949e-05,-9.69482385225666e-06
"Nerodia_erythrogaster",-0.00271266419869817,0.00168399204784087,-0.000127375601834282,7.47064319275159e-05,-0.000468729595229856,-0.00100643382150564,-0.000127602265784811,0.000651657403305195,-0.00031602688360482,-0.000210536646011638,0.000356999736837541,3.32987593554422e-05,0.000817846606680457,0.000581379250665974,7.92703148876738e-06,2.97218696818877e-06,0.000252784037859511,-0.000181708319200356,-1.80644037644176e-05,-0.000275396045072276,0.000244935477687755,-0.000270370147656237,-9.39933835399428e-05,0.000254174807077225,0.000247226938345586,0.000188456639902056,4.86616134778145e-05,0.000151662504607946,-0.00012033260326678,1.27267004102857e-06,-0.000132749027906441,0.000165220528241578,0.000101105566938351,-2.59209068288954e-05,-9.29040871400919e-05,4.93719492002641e-05,-5.31136339976486e-05,-4.08970637338475e-05,-0.000104755267314914,0.000106815343320236,3.45770281917858e-07,-8.35790174291464e-06,-6.97773920836207e-05,6.48307034028209e-05,9.6949512638495e-05,-0.000107337665686954,-6.18105743167586e-05,1.63645473365237e-05,-0.000164782197336985,2.27879409810228e-05
"Nerodia_fasciata",-0.00431774681683178,0.00250286264183551,-0.00338876396144812,0.00238214229315257,0.000575259003410036,-0.000361938671212359,0.000656869643112657,-0.000425249520895476,-0.000765291586474876,-0.000613048915429546,-0.000102987952320864,-0.00025543797794541,0.000196426001797201,9.57395599096395e-05,0.000201554693319886,0.000439472726632534,0.000268357458486965,-7.64343890369351e-05,-0.000135139001918454,-0.000188253679982155,8.94889332508165e-05,-6.12972708686371e-05,-9.31773722276473e-05,0.00011205092872597,0.000512453873490259,-0.000215792236687732,-0.000113027345520298,-0.000140234330488425,0.000113203488682125,7.19348049575451e-05,-6.34150857390435e-05,0.00015361716723513,-3.95004201243433e-05,-0.000110576125969331,-1.6039760089814e-05,-0.00010700976504396,0.000136075897469459,-3.77592973877555e-05,0.000123696641878022,-0.000104429477372635,0.000124427800607567,-1.85258373318523e-05,4.71459760527075e-05,-5.17917476495393e-05,4.37991824102075e-05,-0.000119326752327991,-6.98564988444881e-05,-2.21635589855818e-05,-0.000135331774036568,2.00666624927139e-05
"Nerodia_floridana",-0.00277405230438108,-0.000374374400453062,-0.0010187329913098,9.80590408134741e-05,9.00010288710967e-05,-0.00105209852028328,0.000135666044103752,0.000623302009807905,-0.00117380638809122,0.000636460388241728,5.83424036461268e-05,0.000739273679859749,0.000228434743913404,-0.000435222696672622,0.000463523086146256,-0.000193612660737824,0.000811717131990472,-0.000305350247823156,-1.9857677912465e-05,0.000154789947392128,-0.000291726897496493,-0.000666781570378189,5.03026578448232e-05,-0.00018586550479486,9.47317366950512e-06,-0.000232446218224857,-3.1811337690933e-05,-7.54195780018767e-05,0.000129089181642567,5.40351841359217e-06,-9.53471776409807e-05,-0.000272873298192118,0.000234326168059919,0.000287640320253101,-1.1133125164598e-05,1.04796483058428e-05,-2.44396648051404e-05,-7.0354491493867e-05,3.08662666309035e-05,6.03891410556225e-05,4.20263163914455e-05,-0.000114938475393159,1.84889015754543e-05,1.1518481247815e-05,1.20942827402747e-05,-0.000181312017951141,7.39025412293764e-05,-3.33653198959282e-05,-2.68191998021503e-05,3.26745353177813e-06
"Nerodia_paucimaculata",0.0038793701406748,0.000564270261052657,-0.00105953517139415,0.000568911460069078,0.000747956545893097,-0.000742384603392919,-0.00011260016421905,-0.000615007110068502,-0.000829723647234929,-0.000334774193089499,-0.00071473793449433,0.000253329289079648,-0.000460036505425725,-0.00017137862109667,-0.000389110696237218,-0.000221623703108784,5.94434296305381e-05,-0.000299246612629312,0.000306817475272233,-0.00014518883633636,3.80724216323793e-05,-0.000504128811307171,-6.18668804114464e-05,0.000141734647334958,0.000174359419482277,6.43369617032707e-05,9.60207803222128e-05,-0.00014368297544039,-4.79221177133222e-05,-0.000242555168975352,-5.28438156175461e-05,-6.73691460575258e-05,-0.000291175068336683,-8.18602708808514e-06,-0.000157013650296993,2.12700441101663e-05,-1.82417215057107e-05,-1.44872373234548e-05,0.000126427686137723,-0.000121164846953769,0.000104845964822094,-4.03421843865292e-05,1.69758686872495e-05,1.95148140181062e-05,9.5411649178668e-05,-9.53014694593179e-05,-7.46213543785414e-05,-3.58390092521616e-06,-0.000137632746946186,2.36733417884253e-05
"Nerodia_rhombifer",0.00214234693999961,-0.000863668389779824,0.00110348752757441,0.00173870915864334,0.00183643043950204,-0.00218126541675013,-0.000217813246440981,-0.000118270890091099,-0.000468108312469899,-0.000533454389895534,0.00027636720266307,-0.000393852162655309,-5.856953759352e-05,-3.28607784607574e-05,-0.000313558347328254,0.000221308652574194,-0.000304454926093089,0.000350791733384043,-0.000220983579523681,-8.96174128540763e-05,-1.02193785635188e-05,-0.000291613467666591,6.92927737270762e-05,-0.000266149313744495,-0.000205979237721186,-4.96474010929286e-05,1.97191148081588e-05,0.00019849943777534,0.000267233816319745,-4.66677313515718e-05,0.000107095439339425,-8.8573325162564e-05,2.1063099668053e-05,4.04829386519645e-05,0.000126189424763771,1.67895320137961e-05,0.000157390448720827,-2.71847724911426e-05,2.8417292979368e-05,-2.97343007787745e-05,8.62405188416185e-05,5.07535486369217e-05,-3.32665389839097e-06,0.000142795540218553,-8.07032583613537e-05,-5.27316348852761e-05,2.41580922082966e-05,4.69898370308657e-05,-0.000158933813844958,3.03124909571388e-05
