"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.0099433136238469,-0.000493097592639035,0.000608288957092476,-0.00093658119139071,-0.00150122011080006,-0.00418004364927566,0.00455329669725517,-0.00159268121476637,-0.00128067254939448,-0.000375644828009562,-0.00298656134363862,0.000298737586393967,-0.000970213969388512,0.000305924255933573,-0.00137347378140423,0.000647493211778702,-0.00029832580461002,0.000458250588953145,-0.000100875646581437,-0.000415722534769413,0.00193960526091314,-0.000868783836872427,6.73872034860343e-06,0.000758732910520542,5.55905110849352e-06,-0.000352015825762402,-0.0015794245018022,0.000272379111441567,0.000990006600533758,0.000516490288395861,0.000605891464790228,0.000163023826908438,-0.000783353802361698,-0.000166984513664111,-0.000221311803320575,-0.000274891410678573,-0.000460495623379273,9.72287177983859e-05,3.41992056898869e-05,4.43132001171723e-05,3.28027308269892e-05,8.23693624858293e-05,3.27088410683894e-05,2.05181147122246e-05,7.67591522258976e-05,1.59133807061185e-05,1.25828739979932e-05,7.26714176472916e-06,7.31511671399006e-06,4.65227228962396e-06
"Liodytes_alleni",-0.00909233367926801,-0.0100038345225209,-0.00506858103397308,0.00159414472812698,0.000372848110624393,-0.000702247641094477,0.00416579398588189,0.00337473469948621,-0.000228986618566831,-0.00229420070024652,0.00166903321272305,-0.000608117875361294,4.54198569973012e-05,0.000895348402575607,0.000776903527069334,-0.000672001658170569,0.000646517144268729,-0.000418861848420767,0.00177658473348302,1.48105388069127e-05,7.50916024350567e-05,-0.000381850969983557,2.95701604226455e-05,0.000322271096801763,-0.000929970661435766,-3.28428342591422e-05,0.000418019793359177,-0.000375228681373428,-2.46919998586423e-05,-0.000187450587336864,1.64517469117785e-05,-0.000343408135581626,-3.28189382794106e-05,0.00112960325877464,0.000238183281858641,0.000198819067361994,0.000411146957166284,-1.0770773230395e-05,0.000932945296125303,-0.000133587259091365,0.00073867201136044,0.000263916879828563,0.000460247562404125,0.000157040849131465,-0.000489729494431481,0.00121642686417509,-2.34683013756972e-05,4.17905035330787e-06,0.000726991487015331,-0.000308567256724743
"Liodytes_rigida",-0.00633892555861488,-0.00878828146676766,-0.0041616704178091,0.00103166387789075,-0.00247153183631994,0.00108562282875301,0.0047715223520957,0.00373534372214691,0.000737583977672884,7.32044761845749e-05,0.00134144991164106,0.000596567675996889,0.000672827617403033,0.00167216496149519,0.00102005434341216,-0.000534491775004743,-0.000700763028328449,-0.00061375876462896,0.00143550657389016,0.00124249606483836,7.44318664918881e-05,0.00064438280250442,-2.53587120385645e-05,-6.34933447916645e-05,5.15783269279094e-05,0.000601576235545384,0.00010505470519942,4.97649116199665e-05,0.000582499734586452,-0.000896399001698759,0.000675483426651987,0.000228667882064695,0.000391229262926308,-0.000618179162934419,0.000319859589817074,0.000125579382636276,-0.0001120673440445,0.000103743767340536,-0.000852854667665354,0.000130608953464913,-0.000732386983948536,-0.000263550758239657,-0.000479981933892503,-0.000198511066434159,0.000412188848910477,-0.00126271371958237,-1.31017258578429e-06,-2.02689403992898e-06,-0.000729834355299886,0.00029699919219487
"Nerodia_clarkii",0.00943911156164438,-0.00477537545200139,0.000256467561525355,-0.00124506636560936,0.00125031974322272,-0.000867723622390245,-0.001440335795045,0.000695279872305881,0.00221125072046686,-0.00104017922106837,0.00135565183328603,0.00280867423185145,0.000575933337150249,0.000576423652711055,0.000508002227985449,-0.000692089978121544,2.98713488782287e-05,-0.000428827827922464,0.000726571816903641,-0.00111149663769015,0.000516995838367685,0.000990970724899468,-3.89794660647776e-05,0.00029559492629075,0.000440872373871712,-0.000499199577105926,-0.00132574196199994,0.000344430585556919,-0.000357510972765972,0.000667896009931752,7.49081699541518e-05,0.000298978100606553,-0.000105575138318712,-0.000926161020341411,0.000302541524751654,4.58622878418472e-05,0.000823327702777405,-0.000457762614594553,-2.84169408971259e-05,0.000387484533514507,0.000380944374525669,-0.000137727018354952,0.000398665373687493,-0.00115226360178598,-0.000688468475386798,0.000358871407545391,-0.000510501970442119,0.000350140319497816,-0.000395625448217983,-2.54237812772459e-07
"Nerodia_cyclopion",0.00828368161782349,0.00188149467579686,0.00165989950477366,0.00267107792048625,-0.00548136373787917,5.39474979908231e-05,0.00106526288601783,7.64595543185178e-05,-0.00157342943300483,-0.00183046579121345,0.00125545057269662,0.000181656046336226,0.000165142377944044,0.000234174987146531,0.00178430597991967,0.000850028319433894,-0.00120787855646737,0.00147517885920867,-0.000871011942580039,-0.00119798504152849,-0.000280037204198274,0.000109939571445497,0.00126701556306656,0.000346598274285187,-0.000147922209738726,-0.000559430333853811,-0.00014118188716943,0.000152301178392954,-7.34774771648456e-05,-0.00022963264440642,0.000222664046630717,-0.00107930913376499,5.63144025926606e-05,-0.000117991675452268,0.00021367854917097,0.000335088994582713,-4.78387284667503e-05,0.000117557661363314,0.000142828571346609,-8.75410357931678e-05,6.80944972481869e-05,6.93450897686022e-05,-8.56022887788693e-05,-6.32885177226737e-05,4.43205308019755e-06,-2.92541794533541e-05,-7.60159683915866e-06,-2.16717872187676e-05,-3.8267633714511e-06,9.69311655047007e-06
"Nerodia_erythrogaster",0.00717033596021577,0.00326710485726379,0.00163682678213334,0.00113254360431173,-0.00540739243500666,0.0013171092292127,0.000961706802228194,0.000760107088421644,-0.000442051091525413,0.00134602228722472,-0.00101832235663249,0.00133961273170251,-0.00111144185298984,0.000836684198033423,-0.00259828452013395,0.00178462216118039,0.00115455760137192,0.000379173410537688,0.000186578159178314,-1.78846470103465e-05,-0.00011982050277591,0.00155564444223688,0.000275926177632434,0.000596746109967335,0.000175396668412081,-0.000390319012400005,0.000532179924835068,-0.000244551290116511,0.000286450543712906,-0.000118746557347513,-6.0496824173584e-05,0.000199593895868811,-0.000183946920917732,4.80741694035301e-05,7.87489595644791e-06,0.000212409262363974,1.25262832868903e-05,4.05180505187505e-05,-7.84348054611123e-05,-3.63973889478546e-05,2.06246735328194e-05,-2.53147632727249e-05,-2.57972019082904e-05,7.48921909943511e-06,-2.1183727014965e-05,2.0429095451681e-05,-2.0070567211044e-07,-1.63931265092908e-05,-3.87502147343763e-06,4.67734857855718e-06
"Nerodia_fasciata",0.00763642369020201,0.00106293760281641,-0.000595549255101437,-0.000138978056989261,0.00141527172170515,-7.5482667790393e-06,0.00109116411943632,-0.000456234469634418,-0.000725258053804596,0.00106276506667348,-0.00116589978572703,0.00112587641647987,5.54258169512223e-05,-0.000124718987125989,0.00126641636696366,-0.000338660307685417,0.000144225653809433,0.000897710444954579,0.000989842146078379,0.000294406436379971,-0.000666207380078351,-0.00059033922521225,-0.000724466630362757,-0.000407799487701875,-1.07382213081936e-06,-1.57207152408993e-06,0.000631990401486243,0.000403446567354361,-0.000128650729334776,0.000153148157201765,4.31423140453243e-05,-0.000162270172450127,0.000242792855622579,0.000857082945517159,-7.77854035474328e-05,0.000610036192553171,-0.0007411818145683,0.00036025404281061,-6.52783185218206e-05,-0.000362806614055279,-0.000425375794495527,0.000124800387914067,-0.000379486257740547,0.00121786392121262,0.000735616111703364,-0.000335297485261105,0.000499559972445325,-0.000342329860911114,0.000400091640247911,-1.45212315175478e-06
"Nerodia_floridana",0.00992925965524648,0.00411885377679714,0.00367074772965616,0.00364479460719815,-0.00606142035556441,-0.00237097698903832,-0.00212242735263587,-1.35990150605431e-06,-0.00465503715360764,-0.00157655459774097,0.000495101519236131,0.00114249244539754,0.000271760366077997,-0.00129182248943034,-0.00122835722727344,-0.00105289031513302,0.00151329960840221,-0.00145016458089762,0.000713322795544434,0.00106942574319813,0.000353491006854549,-0.000253898585496696,-0.00130960578857651,-0.00029123412698544,0.000138591692599552,0.000542899020370429,0.000131253050097922,-0.000152687490668034,4.282229620281e-05,0.00018940452372355,-0.000191453142597922,0.00100351447326436,-3.71215531989225e-05,9.0576077055573e-05,-0.000212530287310957,-0.000333925959756336,3.93815598002578e-05,-0.000110380598685533,-0.000152182545939503,8.80020396196148e-05,-6.88533223702509e-05,-6.50795099841539e-05,8.48456946651141e-05,6.2416757321473e-05,-3.88935375091129e-06,2.78388102937431e-05,7.34771201075232e-06,2.08365397607828e-05,3.59032184076909e-06,-8.86479607442142e-06
"Nerodia_paucimaculata",0.00992920934772907,-0.00225414634274078,0.00121140712475409,-8.38067521197748e-05,0.00365325249980145,-0.0021796119036786,-0.00380959033130719,0.000554354206693513,0.00183950983063377,0.000488043950274486,0.0022080278288845,-0.000242180135129718,-0.000970897338224391,0.000323011692494115,0.000794459567765986,-0.000597669425925762,-0.000874041808516499,-0.00115639195347922,-0.00207664014825998,0.000686645233500616,0.000967182996030267,-0.000758637922554194,0.0016725249073841,0.000380243489637513,-0.000758086502727465,0.000801579350312038,0.000135310424236101,-0.000644068385423536,-0.000117840128261363,0.000373643496861814,0.000346683728408347,0.000305983954467429,3.52690249013625e-05,-2.33210864037775e-05,-0.000191611266125892,4.0744317734142e-05,0.000342953850019462,-4.00750825329698e-05,0.000172253576729458,2.89081572090909e-05,-4.43904835810493e-05,-9.88896948071569e-05,-4.08961057148934e-05,2.22199145856422e-05,3.58289263689366e-05,-2.24328151891421e-05,1.3418657395263e-05,3.54097305653193e-06,8.48792431596591e-06,-3.48757110561763e-06
"Nerodia_rhombifer",0.00885779990469063,-0.00400171528513828,-0.00157819437680049,0.000814817952922018,0.00196895825626187,0.000105572497000203,0.00155586812370613,0.00259206155108419,-0.000168618938568837,-0.00144630726494736,-0.00154366174878791,-0.00253988514433317,-4.31723608686739e-05,0.000194052862477311,0.000353603648797013,5.73035580142804e-05,0.00127225623206893,-0.000914667288831848,0.000722331291171439,0.00123499786471524,0.000411490037279827,-0.000485192401379158,0.000134350939814385,-0.00150540470681109,-0.000260315237931289,-0.00108424823050087,0.000570126705077799,-0.000684459005097403,0.000405685310503035,0.000562971490521214,-3.87481692099455e-05,-0.000478535432784788,-0.000103181717372699,-0.000475229523028547,6.66575182434197e-05,0.000254226214808734,-0.000318863090407147,-0.000494091034338327,0.000300749314694628,7.51470495499907e-06,-8.11430920679045e-05,-4.17801223751189e-06,1.67020905529854e-05,-1.77680921304992e-05,0.000108650650886741,2.42627010733949e-05,1.86891599120551e-05,4.98195324491621e-05,-2.71358180390951e-05,-3.12174346227642e-06
