"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.00296635365936709,-0.00365899234476774,0.00104120618570063,-1.15732231517952e-05,-0.00148057008978871,-0.000348095410482828,0.000386714796178509,0.00118248045022884,-0.000554306445057433,-0.000291244895946208,-0.000766854356404451,0.000187885902519582,-0.00104565146122892,0.000328160310241992,-0.000270314877836667,0.000668324535225968,-0.000211658503201245,0.000123379485796232,-0.000622698215150651,0.000165666091580198,-0.000115679784120805,0.000192355819676986,-2.4932238828241e-06,-9.27696296563042e-05,-7.30603271297228e-05,-8.89814272225746e-05,-0.000530839488547168,0.000178764408456862,1.85278948772913e-05,8.56716443709468e-06,7.40856848704621e-05,-4.95694579938263e-05,-0.000132503763994491,-0.000119101216054667,1.06283569709086e-05,0.000104469079653069,0.000109234427309084,-1.49040342748303e-06,4.76821285035933e-05,2.50298938099016e-05,2.23050851880082e-05,3.13820730103963e-05,3.60759509356659e-05,7.86424121892083e-06,3.18305335001745e-06,1.1599834587112e-06,3.89851413130845e-06,7.54804016596163e-06,3.04974311725563e-07,5.22464758451794e-06
"Liodytes_alleni",0.000933423801799132,-0.00213135202278287,0.00141582784439384,-0.000515810629799473,-0.00187274402489591,-0.000169946469199432,0.000743730224040494,-0.000531729637292125,0.000841650250786243,0.000902962858006055,-0.00104510930003717,0.000731748098208861,0.00031031070607161,-4.67531159873476e-05,-0.000455190127680545,-0.00057416364287387,0.000630811548332978,-0.000432573622290155,-0.000595441526421333,-0.000668612166744413,-3.05588993876815e-05,-0.000203687938832861,0.000154686128413063,0.000438347384516938,-0.000257992749378025,-1.082802185686e-06,-7.48775032923089e-05,-0.000300122299251422,0.000105478370636856,1.54265973168272e-05,-3.1927936050904e-05,0.000188554596239193,-0.000144330746846968,0.00019021290081992,-0.000174796209479239,6.06716672000556e-05,6.85548504885119e-05,-0.00016915130978074,-0.000109066267180155,0.000248119531562808,9.34953623176139e-05,7.21007127322112e-05,-0.000147212915392284,2.10171130330264e-05,-5.14476985635902e-05,-2.67922242462553e-05,0.000229461955226826,-0.000137319196689286,-3.72767465944264e-05,-6.97639344373483e-05
"Liodytes_rigida",-0.00101769811611882,-0.00151073497179371,-0.000417499765392983,-1.09629576813633e-06,0.000343821659085594,-0.00119612742169386,-0.000103972093152695,-0.000264745600269135,-0.000746996814173122,0.000477467536562136,0.000234192716978885,-3.23189131528092e-06,0.000128120675536134,0.000432274161447975,-0.000406193323473708,-0.000416927410284321,0.000172004078443633,-0.000160917946539749,0.000741022286817968,-0.000119827223315721,0.000211088497131146,-0.000250477820208263,-8.59419820263865e-05,-0.000376969344313958,-0.000224025346262608,8.29222750891149e-05,0.000133325991749297,0.000159069523082406,-0.000232194119104203,0.00013613861326454,0.000100025823465799,-0.000115726889915001,0.00019629309789951,-0.000160700229142261,0.000301673451066285,-4.94404943646015e-05,-0.000119837351536109,9.5621980459804e-05,0.000145815558796965,-0.000228912021181444,-9.3428979504964e-05,-9.71327936769137e-05,0.000154248679379779,-2.32348738297314e-05,4.66674894185476e-05,3.39589207987135e-05,-0.00023090128057109,0.000134593330876355,4.0411296818309e-05,6.83347593123886e-05
"Nerodia_clarkii",0.00155338458316622,0.00106661553100953,0.00187481479708481,0.00178163977742394,-0.000495029178332491,0.000333841623784353,0.00203902724852988,0.000906907519083667,0.000286508481375014,0.000821946328494813,-0.000748696021727177,0.000348536500914564,0.000875432547102926,-0.000428469385944928,0.00101559817527971,-0.000137187133808005,0.000268421017602962,-0.000491413897592648,4.86742624504225e-05,-1.85892915710979e-05,-9.36158938811348e-05,-0.000157153471210672,0.000478870291148434,6.85274095051364e-05,0.000193358190055026,0.000125566293413853,-0.000138092489844348,-0.00021999126480455,0.000341734235807696,4.64638069926159e-06,-0.000152969119483463,0.000134596950534218,-0.000230593944160109,0.000429274342882775,0.000163117418032451,0.000141968802387257,0.000265038447494467,-7.72397855141019e-05,-3.70045502898481e-05,4.08890790566267e-05,-4.3393921905238e-05,3.17133733901194e-06,-0.00022565257688903,-1.79485946211747e-05,5.45126487574265e-05,6.55008931573892e-06,6.12937425736536e-06,0.000159829914029453,-4.2239271358285e-05,-2.35236382404576e-05
"Nerodia_cyclopion",0.00398750246371999,0.000282170536229705,-0.00161907820038515,-0.0012986788562951,0.000325006175781446,0.000639680924517466,-0.00091381967653233,-0.000244741380025231,-0.000679591589011106,-0.000603034337357367,0.000524560010612217,0.000343247496406502,-0.000960536049927856,-0.000443851902017158,0.000275860041772853,-0.000349771169861129,-7.90643916755215e-05,0.000124975455121171,0.000292854098021314,-9.70626830650837e-05,0.000280568996186892,0.000291905897211187,-0.000398658038124302,0.000205272680096118,-3.51763709652182e-05,-9.10052495602681e-06,1.65697412722889e-05,-0.000120172901148024,-3.573757605381e-05,0.00012866232206371,-0.000161587854672937,-0.000158399216659002,1.2612105011377e-05,1.18182748582463e-05,8.93289810478953e-05,3.24672464157217e-05,6.48688126106884e-05,2.2248482899611e-05,7.21343735607319e-05,5.62174247243037e-06,1.20407519165881e-05,4.22026512200841e-06,-1.74708841873517e-05,-2.35364391109838e-05,1.5427265905987e-05,4.16243151218959e-06,4.71316614029853e-06,-8.17205631067533e-06,3.00440380354572e-07,-1.65169481770458e-07
"Nerodia_erythrogaster",0.00222179152790772,-0.00061225818989012,-0.000948844984688501,0.000121152053453383,-0.000175960119126536,-1.8478682228475e-05,0.000809230243904356,0.00116274432739646,-0.00111006927080981,8.28912788005031e-05,0.000704915692351192,8.87945074703229e-05,0.00107529555351503,-0.00128384510695482,-0.00117709283168975,0.000127689097399994,0.000411565542397307,0.000361136406399301,2.79215215723781e-05,2.72726923891986e-05,-8.52252075730491e-05,6.57799102243194e-05,-7.54779058546252e-05,-0.000133473045784567,-4.07820569709962e-05,1.33385945931667e-05,1.08045177915996e-06,-6.10929044255196e-06,4.1571954766832e-05,-5.1147239321778e-05,-1.00352777482972e-05,-2.55616677690002e-05,4.55358488775493e-06,1.50530632424875e-05,-1.80542244922307e-05,2.57526636085337e-05,3.7612680932579e-06,9.53748723098051e-07,1.18558521231727e-05,-6.55820820740148e-06,1.95818631061008e-06,2.57197562012417e-06,2.08944199632542e-07,-5.07649408682564e-06,-3.39631875655211e-06,-1.02732330473857e-06,1.22208382231188e-06,3.06096064753991e-07,-5.37567800578091e-07,8.01041354963959e-07
"Nerodia_fasciata",0.00237800722274567,9.45274897191322e-05,-5.84601720593495e-05,0.000317704269570343,0.00082145020152323,-1.07809577907416e-05,3.79646610602987e-05,-0.000536577843012138,-0.000983177427033551,-0.000136157725577293,0.000170725329993846,0.0002989727910024,-0.00026859976514098,0.000313720738289689,0.000136845090754641,6.19786681404666e-05,-0.000183318084815583,0.000117920980695321,0.000689453277455976,6.09839861690064e-05,1.49084444706194e-06,-0.000143997947502271,-0.000360531515281981,-7.6019539344659e-05,-0.000146297474956632,-0.000289172909696362,-7.19173323950726e-05,0.000328724716448361,-0.000103137680477994,-2.62571124726691e-05,0.000155226197726171,-0.000161457763958826,0.00032482264355304,-0.000384409369589673,-0.000153672836830799,-0.000104317110068382,-0.000249195746820848,7.83522794206847e-05,8.30515832454961e-05,-5.33509164576405e-05,3.96410127100481e-05,3.52071691729717e-05,0.000220515339647662,6.41562906079867e-07,-4.60259754456932e-05,-5.71099542501377e-06,-3.4973941935709e-06,-0.000167114150910903,4.34379509303321e-05,2.87533698441082e-05
"Nerodia_floridana",-0.00275606561677571,0.00127893348282903,0.00178565439183017,0.003925652138036,0.00108910656064114,-0.00300796029528555,-0.00100458356261492,0.00289465281582721,0.000579946780074458,8.64742619263466e-05,-0.000688219221930395,-0.000178134230642096,0.000608561533369512,0.000471658171125712,-2.58774881551488e-05,0.000269036111671698,0.000132917365675813,-0.00014332782798762,-0.000262841358191666,-4.51978221903224e-05,-0.000300566040964614,-0.000269789753523228,0.000351625513048889,-0.000186880168915147,5.78855693979308e-05,2.7781978297292e-05,8.67443489752241e-06,0.000119112081953301,3.89815170633555e-05,-0.000113275945620477,0.000154609060748681,0.000150694298764665,3.74156332322827e-06,-1.26262949623902e-05,-7.89102307017823e-05,-3.23027364096463e-05,-6.4427459562494e-05,-2.26737779979468e-05,-6.39489783145086e-05,-9.3485847777629e-07,-1.11594794116825e-05,-5.67814001436296e-06,1.45049295965804e-05,2.08878437971119e-05,-1.62743708969601e-05,-3.60177440038128e-06,-3.84072152054851e-06,7.67771409983408e-06,-4.37892007681839e-07,4.57867142593915e-08
"Nerodia_paucimaculata",0.00244259843788818,-0.000100274935196416,-0.00066815928545715,-0.00066047388417767,5.18802300868251e-06,0.00100957221438553,0.000464728829629018,-0.0011091808920696,2.19733996818262e-05,-0.00122696266250313,0.000343925102447241,0.000139621377174715,-0.000891065415494621,0.0003961770878104,-5.53954568038103e-05,0.000256654047423123,0.000145590549762246,4.62534988605676e-05,-0.000531544846357842,-0.000415164739300243,0.000165368060408287,0.000148831419644305,6.13358933462943e-05,-0.000214595452205142,0.000227327846706358,-0.000131183523423031,-7.3860729006602e-05,-0.000176372726152325,-2.52520015376429e-05,0.000267661299134572,-5.21639822443159e-05,4.58231607287475e-05,-7.62774234913227e-05,3.49479205521686e-06,4.8103086721668e-05,-8.05609513737647e-05,-6.93046292465935e-05,1.33646560126103e-05,-6.65609137369132e-05,-1.38305961997982e-05,-3.83351079810311e-05,8.30019546738524e-06,-5.13352754770804e-07,3.02876607860277e-05,7.21943205143958e-06,-8.84284112611726e-06,-6.83448407390419e-06,-3.95140136597626e-06,1.90450048632053e-06,-2.12083091817877e-06
"Nerodia_rhombifer",0.00233975155941211,-0.00152845836183006,-0.000417925834508549,-0.000302039832812936,-0.000370093785296819,-0.000529294876508616,-0.00019433842673832,-0.000499405362395234,0.000609693016355971,0.000274157205963224,0.000591641804379151,-0.000592989923650521,-0.000413577849252884,0.000228695814422505,-0.000243930795984661,-7.85739913286213e-05,-9.96610755834172e-05,0.000150346466437226,3.44771204237535e-05,0.000524834441153584,2.70372359289707e-05,-2.64311321508669e-05,2.64231188325482e-05,-0.000101670593666444,0.000270621927639243,-8.3393974414365e-05,9.21216307549066e-05,7.37536915817402e-05,-0.000139706227132997,3.98097234082163e-05,-2.43297720272854e-05,0.000109361876739827,0.000202509158922558,-9.30660447238709e-05,0.000166922589684765,9.7067937372879e-05,-1.60019792574842e-05,-0.000162946174926576,7.82047653879035e-06,-3.35895769840707e-06,-3.33314137873143e-07,5.46382881625934e-05,-2.04859862993192e-05,1.48387785153564e-05,-1.33597879737324e-05,1.15644621016811e-05,1.1884460043467e-05,1.59984072687462e-06,-3.38910965705326e-06,1.60678310572431e-06
"Nerodia_sipedon",0.00283761245434869,0.00109975646222815,0.000392725486049011,4.3829353209512e-05,0.000535063360472655,0.000347301869146139,0.000440257898991675,4.65629834096826e-05,-5.19234548432664e-05,5.20682940134099e-05,-0.000570806328822147,-0.000238166183689813,-0.00035425172986445,0.000763179476217686,-0.000230792776639559,-0.00019186908131057,-0.000655042378309216,0.000215955897305179,-0.000356720603413095,0.00027016067213512,-4.3440375517334e-05,0.000123171024113653,-0.000150256372176229,0.000308230121589789,-0.000233574103154749,0.000309448406515269,0.000321519753206218,4.51695562822397e-05,-0.000285063063041117,-0.000181967733238605,5.36077657415275e-05,7.2398589331846e-06,-4.37349356267774e-05,-6.19090739804997e-05,-4.71599664969698e-05,1.08206973609759e-05,4.16513348462896e-05,-1.61093167756814e-05,-1.81835659409075e-06,3.03059087303533e-05,3.94177187850377e-05,-5.34163489744261e-05,5.78534309575037e-06,-6.67191898969261e-06,-1.3934236329679e-05,8.00199513693358e-06,1.01745709405679e-06,1.08838747755883e-05,-2.45529724275295e-06,-4.42285039301468e-06
"Nerodia_taxispilota",0.00387995694341631,-0.000934237230159297,0.000962996256904413,-0.00129198544764627,-0.00267172740847086,0.000190467306676912,-0.000328797448196562,-0.000184791660437499,0.00159071207949254,-2.52202149085721e-05,-7.37140507819181e-05,-0.00069458104649642,-0.000236572649546977,-0.000260420282245111,0.000262937453990803,-5.71949672306388e-05,0.000199057857448185,-0.000399869922748156,6.71554656042746e-05,-0.000396999741425165,2.05622252240252e-05,-1.21542852665976e-05,4.12461534043653e-05,0.0001349418044274,-0.000273182572112394,5.5893440184496e-05,-0.00011091779263307,-5.58534125398865e-05,0.00016175651967666,-5.95504375995755e-05,3.59182248732536e-05,-0.000102704245892261,-0.000186692947881433,8.44136530136306e-05,-0.000167449140734713,-8.9646042150024e-05,2.22969182476817e-05,0.00016218543210888,-4.36106867043962e-07,5.65169491775406e-06,-2.22325349497396e-07,-5.02724080301001e-05,2.37561125975409e-05,-1.31405714140949e-05,1.36425190587173e-05,-1.12306416271019e-05,-1.04793968936033e-05,-7.90033304042696e-07,3.10302600209609e-06,-1.4203401371706e-06
"Regina_grahamii",0.000501001610517355,-0.00124163514816274,-0.00160221752365567,-0.000679588324403553,-0.000402263692979838,0.00136600448584301,-0.00116396696748431,-0.000381637243326911,-0.000166307807915664,0.00065040989017146,1.43905570671219e-05,7.63339616071328e-05,0.000320020658148888,0.000230156905246725,6.97650004861356e-05,0.00018588125456708,-0.000137614456468022,-6.04021097491518e-05,3.94304603847672e-05,-2.44419590752071e-06,-0.000127527544535745,8.87101837809588e-05,0.000101137697891978,-5.26758304463705e-05,3.5449053838957e-05,-0.000127491899645632,-9.1199196346063e-05,-0.000103171556460924,-0.00020747400250366,-1.36007355278268e-05,-4.73344101883985e-05,7.90824009722922e-05,7.07190522079277e-06,0.000131102695419784,6.40289834907165e-06,1.89327236443818e-05,-6.58028065507642e-05,9.61789714767882e-05,8.40585510462577e-05,-1.12100683384121e-05,0.000122796008974013,2.80341713946977e-05,-1.37287618197071e-05,2.36389503701325e-05,-6.73174196285767e-05,6.12934350942764e-07,-4.80446393898031e-06,6.99470449205337e-06,-2.36514065221851e-06,1.88442620962192e-06
"Regina_septemvittata",0.00017057644808474,-0.00149563711952153,-0.00202533353809927,-0.00100627310174475,-0.000297414985958695,0.00164663346108085,-0.00138285460136959,-0.000648666367778595,-0.000309705747339575,0.000334886404777152,-0.000212904396596638,0.000204996652051873,0.000254086719226149,1.35784160765881e-05,-1.45655067623678e-05,-9.35551324770902e-05,1.63838177235412e-05,7.51431525672619e-05,-6.38251189370232e-05,2.42235434109953e-06,0.000174838884321729,-8.62374453039353e-05,-8.00458130472916e-05,2.77333108411441e-05,-3.63058736129916e-05,0.000116587155114472,6.77702320565086e-05,0.000104373323831134,0.000209368344824546,7.8086861103215e-06,5.35186391036585e-05,-8.01675938952876e-05,-1.14245456009243e-05,-0.000135602494383941,-4.592704543078e-06,-2.01467601667492e-05,6.83945787428924e-05,-9.4828706435538e-05,-8.78255333418548e-05,8.18977558564775e-06,-0.000121927634100295,-2.80881017243471e-05,1.13058014194604e-05,-2.38781559782608e-05,6.67947238698856e-05,-4.24541791358938e-07,4.75228085128438e-06,-7.17570114098171e-06,2.54371178597519e-06,-1.53898666161128e-06
"Seminatrix_pygaea",-0.000904764444079879,-0.00418491621266529,-0.000328539719911804,-0.0016070883433902,-0.000942753574166308,0.000804554797897798,-0.00106533692626312,-0.000177215963703624,-0.00075769582050191,-7.06368219036529e-05,0.000370851825354956,-0.000184310161467767,-0.000594815974493621,0.000220945463788837,0.000297709480257992,0.000287198004242682,-4.5500725467446e-05,0.000386874271280398,0.000418311764139244,0.000855708040734228,-0.000557879830158072,0.000312804709039792,-0.00021221687834648,8.12146191578002e-05,0.000637276898339323,6.15603900678751e-05,0.000290995116842853,2.77575818665383e-05,0.000118666394928591,-8.37717342590012e-05,-0.000160668995906758,-3.71854223729543e-05,8.50616816290053e-05,9.39850415632834e-05,-0.000156228967400225,-0.000107312021805364,-1.88892204906469e-05,9.16888875974921e-05,-8.19995219588076e-05,-4.11276234544806e-05,-1.6893706748519e-05,3.66696618780004e-08,-3.47220237858249e-05,-9.52930017236274e-06,1.23825807602908e-05,-8.35816737874784e-06,-3.15617579634526e-06,-3.10775741378424e-06,-2.60395717084159e-06,-2.01923252475014e-06
"Storeria_dekayi",-0.000229708047317919,-0.000474617446315659,0.00150167524311682,-0.0011786934348875,-0.000622189063171134,0.00109452332719278,-0.000832207520803908,-9.29480042765196e-05,-0.0015922442548475,-0.000267048321433351,-0.000498946548759875,5.83465576765024e-05,6.01599088125041e-05,-0.000251609160721937,0.000258941870745268,-0.000578771063766337,0.000281520329346988,-0.000337015154690407,0.000327896547503254,0.000507443468949238,-2.44499989262621e-05,0.000277172714677018,7.11407306882496e-05,6.82758737926119e-05,3.78640226336419e-06,-0.000167074000147857,3.38046440767731e-05,4.2733031271024e-05,-7.06511041905323e-05,0.000181551344004144,0.000105465050777175,-0.000255772524884984,-0.000238536705375908,1.51135690436949e-05,2.08608054232449e-05,-0.000189724817817067,-0.00022495151814045,-0.000168151900607255,7.54402640812113e-05,0.000109433229796034,-3.06536277620123e-05,-0.000143113017846432,0.000132815816409901,-2.28649343862653e-06,-1.70452370753626e-05,-8.57472186431738e-05,1.68520491649452e-05,-2.61932148721038e-05,-0.000397897604351381,0.000230682330719202
