"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-5.51143381825557e-06,-0.00466360058726142,0.0037900785048388,-0.000732287965216593,-0.00127070709285297,0.00194699646620425,-0.00111300145180627,0.00029639117740357,-0.000587387433953037,0.00031009596091015,0.000477559833648733,0.00160476765009332,-0.000598909017095807,0.000422854812124703,-0.0018456455460643,7.78206973796347e-05,-0.00102591005863078,0.00129869304541951,-0.00111546548531584,9.95539039307322e-05,-0.000983287202482781,-0.00118441154258466,0.00151086056142977,-0.000469738302151465,-0.000188479313674123,-5.527884677214e-05,0.000317778046389143,0.000477328691031087,0.00025743667919402,-0.000117487099219288,-0.000212462753314617,-0.0001410397968232,-9.98843585120688e-05,-0.000136469599147461,1.1516209850544e-05,-0.000117430670410952,-0.000126576720376817,0.000117704416732354,6.65903779084013e-05,4.41588238415435e-05,3.38092846673732e-05,4.60814529519025e-05,3.00042963799975e-05,3.30442453059341e-05,6.08374652011161e-05,1.26439836895739e-05,4.66349562750973e-05,1.21480332462863e-05,8.08260472145101e-06,-8.4359804297272e-09
"Liodytes_alleni",-0.000306843059045445,-0.00515459046388731,-0.00319915608859238,0.000503824159439855,-0.000595121587919074,-0.0015626201057405,-0.00153689032112446,0.00152302624205422,-0.00245988627684662,0.00276425921284142,-0.00271731778583187,0.000537205889972039,-0.00117007304963534,-0.00150733379886072,-0.000227077947063646,-0.000688084817365114,0.000756561058869081,7.60334842870756e-05,-0.000271623134910353,-0.000299242221647253,0.000322804893154798,7.1814665493962e-05,-0.000596094516658057,0.000815211619451009,0.00132110578675184,-2.29932489796059e-05,-5.80573081510567e-06,0.000471934174918655,0.000618924940178018,-0.000221789128943554,-0.000347622204348076,0.000563459263245156,-0.000220995883610992,0.000384361505270202,3.84467110414752e-05,-0.000389329604661899,-0.000235121002197582,-0.000311190818710172,-7.38765889285296e-05,-0.000155202069222978,-0.000179117165195669,-0.000464304667758957,-0.000544250125003628,-0.000531001148123353,0.000679382880122224,0.000170255239450416,-0.000377680079868812,0.000456818496173252,0.000103963522128327,6.59370771482087e-05
"Liodytes_rigida",0.000719523649091317,-0.00152271016858088,-0.000616506457191491,-0.00200654657891057,-0.00124930239583117,-6.67328159547751e-05,0.000496756071528678,-0.00076486076700868,-0.000238226268479725,-0.000973832594883933,-0.00129564885523964,-4.2897460637868e-05,-0.00114166839108157,0.000828556002761216,0.00178096485927316,5.5765544036084e-05,4.49944984637932e-05,-0.000495305890784996,0.00047926763975011,-9.34421448786028e-05,0.000200876185054031,0.00038164893852537,-0.000255964492609692,2.74617060465066e-05,5.38597354037689e-05,0.000344816082271722,0.00011018939756644,-0.0003329407891392,-8.17802342365082e-05,0.000224913463216795,-0.00026900241348412,-0.000243017546414239,8.52392283805795e-05,-0.000202012814469796,5.12940683668669e-05,0.000401822090192653,0.00027849070497934,0.000355131464441639,0.000182804548474178,0.000253674190089015,0.000137769958128643,0.000515747273078169,0.000521078136910214,0.000592063992899398,-0.000704624340642905,-0.000181455861559351,0.000425699764359946,-0.000445988475702051,-9.99173154670209e-05,-7.495087728348e-05
"Nerodia_clarkii",0.00279848057766078,-0.000612064009408172,-0.0015394791412871,-0.00175083352733949,0.00194033784557517,-9.71756233487948e-05,0.00126195977787179,0.000489869051686556,0.000985462340873583,0.00313988749904866,-0.000794886168845817,0.000804649117776821,-0.00090593751742819,0.000655895349483151,-0.000375891653627701,0.000553773960580683,-0.000338413739931138,-0.000641333632938139,0.00109223520420624,-0.00130332881475131,-0.0004992738520008,-0.000499192318510731,8.59779852161397e-05,0.000171298802124943,-7.03140814933389e-05,-0.000413478761294928,0.000784495723365462,0.000123495780935834,0.000199751889171775,0.000414683075851322,-0.000324298057452111,0.000468862710522109,-9.0014075883024e-05,-5.57328986491064e-05,-0.000421597290160428,6.15737190532565e-05,-3.37184719137342e-05,-0.000117315095492465,-0.000566620655855545,-9.6764654526406e-05,0.000458293273273744,0.000899635630927437,-0.000456460103292207,-0.000204463837462136,9.5705031505003e-05,-0.000125610578744556,-0.000300399643655764,-0.000339834817214009,-1.23847980383076e-05,6.54988298082919e-05
"Nerodia_cyclopion",0.00369414608014167,0.00206825111102908,-0.000193512386600923,0.0029088116125772,0.000329265509670972,-0.000234744974456018,-0.000940964419335314,-0.00154186739592204,0.000196979802506285,-0.00134817648303018,0.000695721922907014,-0.000238008796052634,0.00101937839065137,-0.000102230910193727,-8.18690188386335e-05,-0.00169876662392868,3.57248694296089e-05,-0.000111480726535201,8.80366046188216e-05,0.000356926963476808,0.000262030454679322,0.000185241569745626,0.000282112254241089,0.000395558548773528,-0.000610106894616284,0.000157294299914077,-6.44241748082052e-06,-4.81732421018597e-05,0.000234911923592649,-0.000332197088763398,-0.000418964607212961,-0.000372758285402871,0.000271673127047403,0.000448940327878508,-3.26119777994183e-05,5.11844113127346e-06,5.92358750723807e-05,2.74944535447635e-05,-0.000123995791032542,5.06500171993742e-05,5.23287020665594e-05,3.64851674518302e-07,-7.73965615957326e-05,-1.89751031814101e-05,-1.50699410065023e-05,2.24715373151696e-05,3.05382830390101e-05,1.08258680939943e-06,-1.53285633595611e-05,3.21898727378343e-06
"Nerodia_erythrogaster",0.00329238693934907,0.00123463403779012,0.000483739695895648,0.00101480426442429,0.000274726200970565,0.00183591338891192,-0.00041146281031599,-0.00138673021142465,0.00113809950790742,0.000200930624965533,0.00112264324397187,0.000343443534570869,-0.000560920690522545,0.000311349036304319,0.000677336413174968,6.1836340061529e-05,0.000801327745960918,0.00190222762748774,0.00119734882751792,-2.43103075879037e-05,0.000343584335147231,-0.000610131815504124,0.000155163058949748,0.000371463085611941,0.00011748022230233,-0.000135317121029444,-0.000224330362042521,-7.58658089872082e-05,3.59126695006422e-05,-7.06301372947308e-05,0.000121156746949458,-1.81317919408295e-05,-1.37240948343005e-05,-2.44207186064507e-06,-1.31925353643679e-05,1.46753326443022e-05,6.88113601360407e-05,-1.21984545573305e-05,2.88028335780082e-05,3.47408827872296e-06,-2.74835559092092e-05,3.85060505588234e-06,-1.42703617136828e-05,5.92872037647462e-06,7.49335396418313e-07,-1.43860801135902e-05,-3.86542221475993e-06,-2.40053792466229e-06,-2.24264727231803e-06,1.00445719976229e-07
"Nerodia_fasciata",0.00580777130706696,-0.000534771962305149,0.00186532238670642,0.00136370453315846,0.0024546908491187,-3.45523779133103e-05,0.000768581178742523,-0.000786554314004712,0.00119502791064005,-0.000723403564288127,0.00120408994750745,-0.000569386797243336,-0.00043650940078289,0.00125456682508424,-0.000139085705350483,-0.000378686132877132,-0.000391104042420539,-0.000526492958716608,8.71083573372402e-05,0.000384353224766287,0.000700156518592022,0.000503518125914555,0.000115038941759082,-0.000592226418712229,-0.000279424542077262,0.000107858769867603,-0.000146361402790249,-0.000357104088694428,0.000279473906137871,-0.000365568984047219,0.00011206646717351,-0.000446515011327634,0.000184633060961648,-4.40435441287748e-05,0.000418082638413189,8.34431834450247e-05,7.17490566193227e-05,-9.3879437604105e-06,0.00065245291247652,5.47647152164452e-05,-0.000508067543490974,-0.000939008154215145,0.000419349840252778,0.000201065255471536,-0.000107816845825592,0.000109848798162362,0.000291034843275227,0.000346231699696514,5.9235216730242e-06,-6.52954994447647e-05
"Nerodia_floridana",0.000567529670131924,-0.000283695401689863,0.00175434085268809,-0.00278834700370995,0.00255700830182444,0.00273617274213113,0.0045078812856706,-0.000277468585625553,0.00162136176192832,-0.00104304515849467,-0.0027011496765664,0.00215169947109932,-0.000726669101841036,-0.000148110596118405,-0.000437695520994331,0.00128164840385864,5.89423777064612e-05,-3.70320784211222e-05,-0.000226345713879949,-0.000421652405162469,-0.000174058362317921,-0.000169131447929023,-0.000288760706179671,-0.000364294780684512,0.000572376270258869,-0.000100675603319343,1.07316181691957e-05,1.78694319044303e-05,-0.000223112699642068,0.000300669851525809,0.000382532850388898,0.000374062398154777,-0.000253009296991898,-0.000405587461652965,1.93753486321359e-05,1.12309000670194e-05,-5.01949773075702e-05,-3.0838909490579e-05,0.000114490536001245,-4.90713601077682e-05,-5.29917016692752e-05,3.00970861638296e-07,7.50836294739761e-05,1.24731758917483e-05,1.40214711058904e-05,-2.00920143618271e-05,-2.86332133795103e-05,-1.75985862590119e-06,1.38724985038477e-05,-3.37529964889409e-06
"Nerodia_paucimaculata",-2.95414244373827e-05,-0.00101460101104633,-0.00299718556663601,0.00211422512439279,0.00150093787532885,-0.00154189062086794,-0.00170649774675126,-0.000310556015289441,-0.00175145180251494,-6.00215581800853e-05,0.00122514357612271,-5.37353789449104e-05,0.000582569476901996,-0.000967080984369644,-0.0010262926229537,-0.000868668888070394,-5.26617035756837e-05,0.000147909509318672,-0.00107634081976529,0.000169046909423073,-4.5243893329048e-05,0.000903463497664291,0.000352906772250282,0.000461731206550611,0.000264083332496993,-0.00039391039797924,-0.000256576940542553,-0.000355113738874244,-0.000611863009636886,0.000409958324201179,-0.000361951045052539,-0.000142051922429499,-0.000275329488080571,-1.98382585879485e-05,-6.92249035914151e-06,-0.000138809355297837,-0.000136407031769324,-7.96344713069931e-05,1.95501811987514e-05,8.62097341838041e-05,2.96770854715659e-05,9.01072841079294e-06,2.82966089355452e-05,-2.13397660158662e-06,1.09706294876136e-05,-6.8944666374304e-06,7.68287025973732e-06,-4.65031352675365e-06,1.48166740965911e-05,-4.85523284008145e-06
"Nerodia_rhombifer",0.000842716168670324,0.000191852328659691,-0.00303711447063677,0.000332794760219014,0.000735394371255209,-0.000742114633533873,-0.00199212755263099,-0.000637680485766166,-0.00169035430812219,-0.00147902433890143,-0.00101420116435784,-0.000457750316695611,0.000323292665648874,-0.00119182537542911,0.00153088531313981,0.000227718852315728,-8.61884005778075e-05,7.28324580492956e-05,-8.90550595766357e-06,0.00125333049159279,-0.000567313860191662,-0.000125638728942657,-3.28879684308222e-05,-0.000173333569407862,-0.000218219976912403,0.000651901908009096,0.000430867286158898,-0.000333172445812673,-0.000132185483462662,-0.000370871336761103,-0.00014779471408887,4.08895448892124e-06,-0.00018562516805081,-0.000325999774939432,-0.000261451860273106,0.000267489393981716,-0.000132034233669552,-0.000354578684217364,0.000137249698927949,8.35813304812208e-05,6.56292535456848e-05,-2.20107247826534e-05,-0.000112406533517634,5.62829859805522e-05,-2.15112958088755e-08,5.01045937357608e-06,6.67866251434237e-06,6.69991770588706e-06,1.08065027173061e-05,-2.23015648956185e-06
