"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-5.91457982619153e-05,0.000389043381776285,-0.000433563354707142,0.00244411293041199,-0.00257284736298752,0.00302975883995476,0.00370005954330195,0.000312759717375394,-0.00371034592409742,0.00118939860272757,-0.00137000870348362,8.34842336146624e-05,-2.40746286034724e-05,0.000226640961118542,-0.000591030690980869,0.000324914856356174,-0.000910986998918383,0.000291692730714606,-0.000834260095583071,0.000852768008112399,0.000519018221491766,-3.50793228385211e-05,-0.000393318271750403,-0.000379037013325779,0.000551588500270872,0.000444935994800541,0.000358149535855045,-0.000600809402618752,-0.000443951586165615,-0.000214916554349187,-0.00041999156701113,-6.40772277053412e-05,-6.77109920463931e-05,0.000610901370100284,0.000144882310002091,0.0001534950028406,0.000217086594737694,5.71088595804785e-05,-0.000308175207426918,-0.000323521632312917,-0.000307185899036787,-0.000145311312343007,-0.000107285188376122,-0.000120626853357198,-0.000115463312269088,3.38820231192708e-05,0.000469707440131279,0.00012177492383459,9.02760983222509e-05,2.72992927105846e-05
"Liodytes_alleni",0.0047160665646244,0.00243710652425072,0.00286877583995174,-0.00199313968294988,-0.00434432386157493,-0.00109074993997449,3.46307327934945e-06,0.00158336571408145,-0.00176046131959166,0.000942110925822253,-0.000110907747043148,-0.00201353878118998,-0.000402634353157755,0.00117138255989579,0.00130417350339523,0.000219202172887421,0.00066294416625925,0.000324554140660524,-0.000302214668947851,-0.00027575637903187,-0.000253725196992652,0.0002135086147482,0.000274352909703401,7.79938140300634e-05,0.000295899412293506,-0.000159029885212677,0.000368987603853219,-0.000324326756927816,-0.000489409438957986,-0.00043986909631602,-0.00049807752937052,9.38357677736655e-05,-0.000229836012993374,0.000503461439986496,0.000503251465401024,0.000128088986873829,0.000220221680928743,-2.07321887096364e-05,-0.000346622234290969,-0.000278258664568528,-0.000239319002693619,-2.66860116978078e-06,-8.06924266814582e-05,-0.000175602406822954,-0.000142045199771389,-2.02210751048855e-05,0.000494434540911176,0.000202796910506501,0.000112422513595391,1.54446053621417e-05
"Liodytes_rigida",-0.000789291159966766,-0.000197875503436333,0.00280573335831661,0.00122462396685807,0.00126172678778377,-0.000798760464893815,3.19533987265422e-05,0.000778796286885573,-0.000933180496319244,-0.000242513324336217,-0.000254332227106129,-0.000494398522469112,-0.000186506084416094,0.00102305428448277,0.000799735891472174,-0.000293357825229754,0.000875008230553313,-0.000273913833277658,-0.000776973610176717,-0.000506752930854104,-0.000444552727516083,3.52934002534909e-05,0.000406790129325063,6.38531835277504e-05,0.000283143085255747,-2.35347003759747e-05,0.000278073270096062,-0.00035647522057793,-0.000649597223838431,-0.000504833170994315,-0.000595437107232506,0.000140046838596042,-0.000246904792264481,0.000542647756897899,0.000532176167152287,0.000121815003822115,0.000224417485091168,-5.38381894260506e-05,-0.000399712599308839,-0.000290444435266734,-0.000268268128543264,-1.96241133876573e-05,-8.13729636032941e-05,-0.000181394509166099,-0.000166174419785839,-3.669591439031e-05,0.000508706226980854,0.000219067423309259,0.000108890856463581,2.12568647199509e-05
"Nerodia_clarkii",-0.00198328902764183,0.00156992420477527,0.0026054971794345,-0.000908554938839359,-0.00270651457417571,-0.000817731579136582,0.000644590545511924,0.000422589916483893,0.00133314414741108,-0.0019627420298844,0.00190739578011492,0.000456158111071165,-0.00123112510888492,-0.000567354776783529,0.000749159338554438,8.64415786461441e-05,-0.000649429661413778,6.83732752057262e-06,-0.00036170431834225,0.000339654856424591,-0.000654678941501467,-0.000412011423561767,-0.000258513305517647,-0.00115312039575712,-0.000134885060084852,0.000316878300960739,0.000758272900564141,0.000221524115725836,-0.00011505411116563,-0.000349062738367389,-0.000174870326882771,-4.56472610630297e-06,0.00034416007217521,-0.000228494619866386,-6.09810077727712e-05,-9.69796901344453e-05,7.66349826452746e-05,-0.000203327313346097,-0.00042814672726144,-0.000200555382685005,0.000489733588599967,-7.74418602500486e-05,-3.04517352091216e-06,2.08803264987256e-05,8.09807420587319e-06,-0.00021022682053878,-0.000195762063204621,-8.41860506471894e-05,-0.000326196838245012,6.20607350906059e-05
"Nerodia_cyclopion",0.000213614336687902,-0.00471102038630045,-0.00200739575778503,5.84263933924488e-05,-0.000422976696993859,-0.00128057352577391,-0.00106767758026457,0.00135688885341802,0.00134278667949849,-0.000801377481682238,0.000729631263077763,-8.70988771165679e-05,-0.000448238770635162,-0.00110957895373265,-0.000311159402163231,-0.0001517355645084,-0.000343255264187895,0.000389718171448856,-0.00048291942094919,-0.000439049945779009,-0.000398954205299232,-3.74634140011147e-05,4.62794176624762e-05,-0.000256098594031144,0.000263431790139253,0.000329554873104861,0.000179364456943174,0.000296188987967107,-2.1542350680007e-05,0.000538440335586665,0.000511762613408924,-0.000493594216475121,0.00012396915021335,-0.00023896469072967,-0.000360796816592849,0.000322594968690371,-0.000220485880873543,-0.000170660246031242,-0.000255477019865134,0.000326804857105411,0.000167330574674501,0.000619004245703285,-6.65707833298799e-05,0.000373739176992064,0.000186640418273689,0.000259987303765991,0.000127804565243183,0.00018248039880124,-0.000177969675281444,7.90345320152897e-05
"Nerodia_erythrogaster",-0.00161294358962889,-0.00234784288247257,-0.00124123120582609,0.00062089391093133,-0.000214889612900749,5.41757126830042e-05,0.000737292804127471,0.0022017010743786,0.00115731478140795,-0.000659684301364859,0.000736480653401656,0.000409787190504927,-0.0014888935423077,-0.000401606930611292,0.000461905560723769,-4.47752004303665e-05,-0.000191810831467919,0.00165239125654427,0.000625069486633809,-0.000750224580790732,1.5757165788755e-05,-0.000890537555783911,-0.000202584239450347,-0.00064594414700447,-0.00055562815852991,0.000752764347305702,0.000318000637989952,0.000552515144232419,0.000170054189197987,0.000707547911420312,-0.000100471328033741,0.000959475726682628,-0.000768746180367497,-0.00022810784421286,-9.53607594741881e-05,-0.000149762625432327,1.44718660857901e-05,-7.01874004017232e-05,-0.000194881782349339,-3.27757468838222e-05,1.2838155450297e-05,-2.95949242821355e-05,1.3399904404048e-05,7.74010605388651e-05,-1.8119140138156e-05,-0.00017814994693309,-3.72943553851562e-05,-9.02989725037968e-05,-0.000295011033643199,3.33654538456372e-05
"Nerodia_fasciata",-0.00306966939432306,-0.00332686011051637,-0.00209713383640337,0.00234693323568323,-0.00247734074755062,-0.00320165542089562,0.000606129737005369,0.000449289483618676,0.0005775894989957,-0.000775121079984923,0.000487113298507584,-0.000324929000128943,0.00066901522671311,-0.00066192221836277,0.000397139307894612,0.000339720058072931,-0.000609765745846975,0.000643739549910473,0.000247017271146404,-8.52458137035225e-05,-0.000711215927387283,-0.000459424262779456,9.87172155758106e-05,-0.00106897074086859,-0.000292274189593826,0.000167234338521362,0.000573700727655236,0.000209949596323912,8.53344854039866e-05,-0.000341273025030465,-0.000276004830893094,2.53718646575019e-05,0.000480004678029183,-0.000243339418991397,-1.71560848707291e-06,1.64093444215407e-05,0.000116608587112122,-0.000135257529688105,-0.000478161595496284,-0.000259479494055762,0.000508880957423597,-6.03124188490054e-05,1.3646941433089e-05,4.72435449008024e-06,-6.60314218326617e-06,-0.000210767781447375,-0.000186098426371288,-9.66879315961535e-05,-0.00033198224260396,6.55572836337342e-05
"Nerodia_floridana",-0.00536250515095268,0.0039453969794192,0.000168909384151258,0.0012546753376156,0.000627673607970016,-0.000181744698849681,5.74899038075553e-05,0.000229350761254071,-0.00153105856566157,-0.000159157346855835,0.000621459689756863,-0.000517109317542193,-0.000283361801267583,-0.00099054152976029,-0.000451918309299779,-0.000249156383659812,-0.000671918335308592,0.000992628346793827,0.000204521885958269,0.000316692596228006,-0.00224592359431201,0.000777505941731946,0.000409974355847236,0.000688769901518213,-0.000708121941996723,0.000682754018226329,7.07172311936435e-05,-0.000205587427968007,-0.000189927746803069,0.000326375078677097,0.000222640902431995,-0.000484677866876474,-0.000226518120511448,-0.000306683451417754,-0.000367428657260825,0.000136262623360233,-0.000391209041393781,-0.000246702079270008,-7.61965399769816e-05,0.000255198790393551,0.000145884822796396,0.000453509421668965,-6.652364595266e-05,0.0002611994040654,7.31849244722266e-05,0.000139655060815993,5.23648887075041e-05,5.51608555548843e-05,-0.000195609710651796,5.21793252413211e-05
"Nerodia_paucimaculata",0.00466544778311637,-0.000538677912890374,-0.0005831337055294,-0.000105918052017979,-0.00128930117049436,-0.00105603932017259,-0.00115285806337861,0.000215656040999277,0.000650676633174697,-0.000547011063546996,0.000883617769391654,-0.000235062165324795,0.00107782226619138,-0.000658822103027248,-0.000505120544966372,0.000107097219936283,-0.000649821709833677,-0.000426786295323972,-0.000455244539322301,-0.000839620867470629,-0.000418738155640916,-0.000336555637487673,-0.000621475028015937,-6.59394088709828e-05,0.000115894819523095,-0.000102397665597494,0.000774352758716319,-0.00060191794457514,-0.000375271002587308,0.000510256015514143,1.03630075479138e-06,0.000428475803589833,6.47389716707584e-06,-0.000498577638225858,0.000138333726162291,0.000300253343148283,8.2520030982678e-05,-0.000369877806311447,-0.000163334292561775,0.000133709608703937,0.000348176364977978,-0.000216135743405883,-7.53336848775864e-05,-5.94328473006539e-05,1.16712283147649e-05,-0.000231861853999106,-5.87830573981316e-05,-0.000151168994788952,-0.000360618144807767,8.391456737109e-05
"Nerodia_rhombifer",0.00289796062657562,-0.0010033183849347,0.000673001710928163,-0.000354973211204511,0.00137300886331268,-0.00144632712273426,-0.00129973289075146,0.00177415239988738,-0.000389666700358848,-0.00112634940616138,0.00185635856899097,-0.00122138164824318,0.000862768345758743,1.78827352777225e-05,0.000359497181144677,-0.000583965254093891,0.000203500261435073,-5.10966086480891e-05,0.000238650715785297,0.000190980631421725,9.38303638582687e-05,-0.000289409508137903,0.000643282574141224,-0.000644807222970864,0.00102349555051575,0.000333287333748309,-0.000322738885477701,-0.000299155068082228,-5.66304305904148e-05,0.000209344325392414,-0.000350006079391878,-0.000319144844924851,-0.000470295173996291,-1.41930735234883e-05,-0.000140207143128507,8.67822950180309e-05,-0.000152632051016057,-0.00040874678504168,1.59114402222661e-05,-0.000297039198606667,-0.00023368772616318,4.19362737466984e-05,0.000436126493433967,0.00021187747333419,0.000115505278499982,-6.76172384222069e-06,-0.000166668902047912,-0.000246695225822753,-0.000299588083751432,6.05149865615737e-05
