"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",0.00172730463380269,-0.00530385381238486,-0.00691834604059698,-0.0023853936486847,0.00260982721000699,-0.00220349489927001,-0.000794072586211876,0.00347330140639039,0.000368119652939915,0.00133763764249105,0.000804265752833882,0.00157865975894295,-0.000306413942624305,0.00151995310902368,-0.000147944919373021,0.000105483358302531,-0.000403593561881541,0.000460876190049381,-0.00270705003284605,0.00120820934106112,-0.000341980071606247,-0.000679668646146992,0.000240530127766795,0.00109687935738544,-0.00017799839924157,-0.000840080341048103,-0.00118422794077838,0.000349178905414872,0.000550915569830396,0.000418903430600273,0.000474361359050377,0.00100510708441259,-0.000539577645325406,-0.000116863414914994,-0.000265088079384331,-0.000369880478879775,-0.000252143149139857,-0.000155640469642966,0.000136254213282475,0.000453280992586281,0.000100792754352493,4.31554612760386e-05,5.6142520562395e-05,2.2637508230938e-05,4.98105213569211e-05,6.8218593816542e-05,3.16939237467857e-05,4.17962801318076e-05,6.8763809480147e-06,4.62621160757033e-06
"Liodytes_alleni",0.00287268209844328,-0.00766394232358414,0.00401314383545498,0.00609795529057666,-0.000169263479057465,-0.00676855118076145,-0.0028909797664136,-0.00206108667431869,-0.000180663816815203,-0.000313331218417402,0.00398997012777255,0.00158745889924795,0.000388866929130866,-0.00132191086669297,-1.54134505393291e-05,0.00136135315481711,0.000812386318229273,0.00167729979318455,-0.000603566336772028,-0.000497340674738203,-3.55171013445209e-05,-0.000840849628568282,-0.000420634903294973,-0.000724394804555865,0.000540827258840302,0.00146287321563283,0.00155008214584498,0.000174019673336887,9.24777054054936e-05,-0.000575637438894968,-0.000106341542602622,0.000548350655202399,-6.06474662984434e-05,0.000742862925582894,0.00056302811478915,-0.00016338921393531,-0.000318160012828234,0.000130836722959385,0.000206017941616607,0.000154649164805697,0.000269105759282999,0.000412213270756041,0.000248277481493626,-0.00076540696544377,0.000123951412151935,-0.00049161852629965,-0.000884470246649124,0.000418756384371618,-0.000744490861427436,0.000339141449969792
"Liodytes_rigida",0.00219589542927245,-0.00409167121046638,0.000543186449501048,0.00218265920533241,0.000901222191607229,-0.00881252827279182,0.0003426547808616,0.000698468162633298,0.000908506762637454,-0.000435523839393117,0.00242566892723063,0.00144534728128788,0.00180161246058022,0.000118190277411277,0.000622194482752611,0.000380447960062881,0.000351314615069534,0.00144785525463407,0.000584823393794219,-3.81559502236941e-05,-0.000307804753931529,-0.000120064638965653,-1.82294612557674e-05,0.000372715327818018,-0.000164395174823116,-0.000225853823998441,4.78525240242771e-07,7.43945059675937e-05,-0.00104679017146013,0.000784641393477797,0.000431299263863801,-0.000590183020292898,0.000275260213134056,0.000178394007955109,-4.28814697479868e-05,-0.000158301976538544,0.00040776740728254,-4.04208785525596e-05,-0.000182735185145168,-0.000167024401553547,-0.000355596877496904,-0.000365885630297984,-0.000486316090460827,0.000885779402390325,-0.000173369858758276,0.0004292236641629,0.000857209965389071,-0.000453006742341526,0.000745933411818783,-0.000339665035207501
"Nerodia_clarkii",0.0105893302442005,0.000538306936425702,-0.00692625419895975,-0.00157714704955335,0.00273331897835867,0.003259423985342,-0.000324395436454915,0.0019228284341211,-0.000786012875552397,-0.0018126534487995,-0.00397900418577381,-0.000987085655072503,-0.00101635126134572,0.00147205440304602,-0.000324472653092152,-0.000212528343990706,-0.000758148303029106,0.00120150100887608,0.000889962237565916,-5.74438509577748e-05,-0.000209194329114678,-0.000710254459047969,-0.000956488477210348,0.000868825256476463,-0.000315258545674325,0.00023502256098688,0.000181952316736671,0.000182000116123248,-0.000160490766469835,0.00064487724305994,-0.000431493716040973,-0.00036742178790306,-7.23772342670871e-06,0.000694938733712507,-0.000553458747911603,0.000167799699368805,-0.000420634748132271,-0.000718914643947387,-0.000340977918656916,-0.000393984686020042,-0.000817251169895024,-0.00074235044188547,-5.81635336092183e-05,0.000648965246896352,0.000292111708904463,0.000635077304556617,0.000444408356576971,0.000284216603536535,-0.000643580538898718,1.79072136142354e-06
"Nerodia_cyclopion",-0.0012306954232983,-0.00461475258222228,0.010552534083153,0.00135125153501696,-0.00392807740983789,0.00367533846863746,-0.00505431536210461,-0.0032179371118888,-0.000532052313526466,0.00182030913432339,0.00265752436970475,-0.000928662640027038,-0.0022934158339014,3.29148554395337e-05,-0.000907287138347715,0.000308762761372745,-0.000292190364084825,0.000798442507912353,0.000635790782026257,0.00242000294647489,0.00204496364270915,8.93434453870656e-05,0.002058015201098,-0.000373874812363199,-0.000366099066533958,-0.000107178800873066,0.00051486944533328,-9.37647742543698e-05,7.6426557257522e-05,1.59143599896117e-05,8.31542707762422e-05,-0.000123365533437493,-0.000318794884956573,8.93298871298556e-05,0.000146637699493437,7.32710610079451e-05,-4.68628354364944e-05,6.69532769615121e-06,4.30121380662857e-05,4.34669745666524e-05,-8.33952145849535e-05,-4.14275831970637e-05,-3.14578106799514e-05,1.01603131575266e-05,3.34032554363136e-05,-1.21335606331924e-05,1.25274948643103e-05,1.47535466467972e-05,3.3607437059819e-06,2.3946302902997e-06
"Nerodia_erythrogaster",0.00420887794956025,-0.00554653435894123,-0.000770556583667637,-0.00201183247421136,0.00402196823454212,0.00217464779609431,-0.00205211127686707,0.00262977264784751,0.00139542204051724,0.0016407588675051,0.00151303654194045,0.00042946619548501,0.00162947385525717,0.00142694355811865,0.0017393209634293,-0.000792859124611437,-0.000308561470194941,-0.0022285711198707,-0.00145899792996303,0.000705400548091061,7.10415205079148e-05,-0.000943498245478627,0.000271507545123142,-0.000593527016745025,-0.000618475986100817,0.000566666454755516,-0.000149837788218531,-9.05170463630393e-05,-0.00059142561478115,0.000230224061868087,-0.000102103166331534,-2.74432484162281e-05,0.000253695900986464,5.11117286064969e-05,-4.50380636012085e-05,9.58660761746741e-05,3.01721696077037e-05,7.31349687572569e-05,-7.61108690340148e-05,-7.29734195412123e-05,3.21688373516423e-05,2.54546825105364e-05,1.23640978586217e-05,-6.96798674602852e-06,-3.99224623696751e-06,1.2150834222542e-05,-3.16571984468023e-06,-3.74584114256657e-06,-1.13431345053948e-05,-3.11393449872814e-06
"Nerodia_fasciata",0.00356129481050039,0.00151238448000544,0.00263461024087624,-0.000479001511684608,-0.00105069530973143,0.00374978169136433,-0.00065347277848562,0.00310055860288156,-0.000984519205757176,-0.00118777150761672,-0.000541860996682169,0.00215459949720165,-0.00183283812527725,-8.57309239516022e-05,-0.000533968915926938,0.000803593682981329,-0.000809259199808369,0.000568700560789062,-0.000208913800384956,0.000783212348697166,0.000173888747829401,-0.000630597241931691,0.000246111353612908,0.000474162328268253,-0.000275641567733478,0.000174010274937471,3.15428216229143e-05,0.000418595405598083,0.000222512378341437,-0.000532902571638225,0.000641679482457499,-0.000205515034209577,0.000217600534429973,-0.000753783443368782,0.000521523792806573,0.000270326146727412,7.35531864974425e-05,0.000695796202601595,0.000413908832486224,0.000280784193156334,0.000866228452181774,0.000743384054673066,6.92371933377801e-05,-0.000674889206525247,-0.000284175916363866,-0.000631090830962596,-0.000443802409445028,-0.000302039996053955,0.000644049134611611,5.88368664897131e-06
"Nerodia_floridana",0.00709161406266759,0.00246966697464575,0.00797004034885848,-0.000105206957057494,-0.00305019919658154,-0.00119424909742628,-0.00228889034464162,-0.00240001169730508,0.00350094716639652,-0.00044306968144281,0.000247836810739407,0.000443396638436672,0.000135192417130022,0.000791877109391153,0.000870759006108637,-0.0010147622362853,-7.05077762492206e-05,-0.000420417873795078,-0.000392622518808108,-0.00250661481209011,-0.0020596704141849,-0.000105887709575302,-0.00216624717336353,0.000520992429162828,0.000318638454348141,9.05149339529808e-05,-0.00055674119421434,0.000106810747704757,-3.42073711574874e-05,-2.04233437291563e-05,-9.31947031748736e-05,9.73608256137877e-05,0.000324368284453766,-7.96086127839116e-05,-0.000169193277290547,-9.74793203850714e-05,3.98451584431094e-05,-5.17146394878398e-06,-4.77854109003117e-05,-5.07413207552706e-05,8.36777476908815e-05,5.14607434394801e-05,3.84383364093996e-05,-8.60656435103191e-06,-3.09018287737848e-05,1.08467204329654e-05,-1.0954652264609e-05,-1.76112307063983e-05,-2.7366479880259e-06,-2.74159072916041e-06
"Nerodia_paucimaculata",-0.000449728151540649,0.00984617082349784,0.0121257648867858,0.00495857954821123,-0.000437013519453864,-0.00616250620769922,0.000581243119513299,-0.00398472143747068,0.00294115338887983,-0.00614777377304425,0.00481506935722443,-0.000143904228140121,0.00354382792944935,-0.00195431390563881,0.00141471085174588,-0.000311418692657392,0.00225153530351504,-0.00037245552642065,0.00105959141100771,0.000124838669751007,0.00105634460813228,0.000879507535156821,-0.000255717503443521,-7.7263127128825e-05,0.00133669809316964,-0.000634955765118671,-0.000563745258723154,0.000157514337737002,0.000475648917549248,0.000438782687922888,2.23612485466597e-05,0.00038223233297664,-0.000273047085353544,0.00017751400757466,0.000163295907661705,0.000301022585200188,-0.000249811544016588,7.35299748364335e-05,-0.000137725477731146,-2.19331777412927e-05,-8.2422411276562e-06,-1.40629426498465e-05,5.37595558766792e-05,2.0470117500554e-05,-1.85653509812334e-05,-7.82641493858266e-06,-1.01092296236035e-05,-1.08046531721933e-05,7.54288539908218e-06,5.05648429657843e-06
"Nerodia_rhombifer",0.00610867874253661,0.00616164980226048,0.0101168170004181,0.00500080567590489,-0.0045008240368461,-0.00154176519243669,0.00157613771274469,-0.00210167431638424,0.00229095100850138,-0.00175529598477908,0.00231371919580372,0.000945406429037999,0.000322257934102493,-0.00289808478063893,-0.00253310452316314,0.000722017393133154,0.00080274236783174,-0.000160496289169182,-0.00078333928961003,0.000130713767872843,-0.00150237605673465,-0.000109446300376321,-0.000341071585036622,-0.00131554166779537,-0.000433326991586278,-0.000203869488517158,4.86181482652907e-05,-0.000303406875877935,-0.000106975275011973,0.000208436563514287,0.00109386241503007,-0.000640132719129471,-0.000224718271222435,-0.000853899138356804,0.000321175583294284,0.000337636964376291,-0.000148798971234629,-0.000341853626774144,0.00017199466853707,0.000219256610261606,-0.000143596123299514,-7.45321234134601e-05,-6.23859512377282e-05,-0.000129812698780849,-5.83542126842404e-06,3.28000748230739e-05,4.5909163251218e-05,-2.01065736218599e-05,-3.37781881680048e-05,2.90851076485545e-06
