"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.00200122767462013,-0.00829634956864179,0.00189248085835106,0.00198141454345711,-0.00441850512784148,0.0029020975387589,0.00091518225331586,0.000655271366575649,-0.000254635275672076,0.00110328321472539,-0.000647867792180712,0.000278492118321705,-0.000125553313860365,-0.000238133994692966,-0.000276561333053655,0.000376829126660773,-0.00082070663489386,0.000420786394592347,-8.25366542751492e-05,0.001310814399402,0.000150203090791007,-0.000640797446895264,0.000148200814463641,0.000922366331971856,-0.000373388316781257,-0.000320906963409374,-0.00062957125119803,0.000206295455511864,0.000354198959661272,0.000379771286213372,0.000312682717051474,-0.000511671899548907,-0.000895536092278018,-0.000237155775702148,-0.000397299586221289,-0.000286410979609201,0.000121246050216535,2.38291188825349e-05,4.23853047748447e-05,4.76010845227973e-05,1.36610044518243e-05,2.10079882266461e-05,0.000108267106173377,3.39891650836761e-05,5.78699587993742e-05,8.34933995181558e-06,4.16052415195166e-05,1.79836544598527e-05,9.7932603582775e-06,4.53740724559631e-06
"Liodytes_alleni",0.0116134198416606,-0.00473462523976253,-0.00669999690322398,-0.00435956120041371,-0.00175209745303998,-0.00184130473012915,0.00210444083136499,0.00274176713226668,0.00177114062943234,1.33515721562694e-05,0.00221436808978019,0.00128316495568405,-0.00160493212624935,-0.000757714842226143,0.000576855973149114,-0.000121689963672247,0.0010230886170275,0.000836563969114527,0.000283779630372387,-0.00133890922218383,6.68646162162712e-05,0.000373124526093807,-0.000285052688962865,0.000457778566563489,-0.000881008410279783,0.000199503433992342,0.000409110737015135,0.00051287320272844,-2.03595717255487e-05,0.000837600646555356,-0.00020531426927944,-0.000514147062781269,0.000456374196327577,0.000821974505770091,1.4250707546849e-05,0.000133213685450807,-0.00033724351921108,9.84516150967285e-05,-9.88329306949123e-05,6.43964151760874e-05,5.64183444521979e-05,-0.000223027415735818,-0.000352659855222538,-0.000224919687560374,-0.000156259090509288,0.000744489360029628,0.000275456850367933,0.00071692870784518,0.000265946340310641,-7.09783247186457e-05
"Liodytes_rigida",0.00631890301487759,0.0011064191301129,-0.00226746011845718,-0.000920941197571274,0.000397754746725908,-0.00394522476044642,0.00158844767239155,0.00106603784859896,0.00356618291485115,-0.00168804453948514,0.00214306351470247,0.000959426003833622,-0.0017521984127666,0.00335476901444193,0.000624737631635519,-0.000285287656844054,-0.000424066385176728,-0.000271926308834101,-0.00107142726856952,0.000767956620063035,6.21049309227999e-05,0.000177740895874792,0.000575651952061766,-0.000878914380216191,0.000207688219009944,0.000102816168484661,8.71048221937588e-05,9.84245162292159e-05,0.000487040289530486,-0.000670660653784145,-0.000513573996783381,0.000164731685199257,0.000206610890487874,-0.000505902367765846,0.000157744378376975,-0.000447539198903922,6.31299330934092e-05,-8.80037868694042e-05,0.00029629952366662,-5.98303764372594e-05,-1.71362988730672e-05,0.000288079830965557,0.000429338856758097,0.00015347694515966,0.000145735682988742,-0.000773952116715806,-0.000250805718195167,-0.000709624882144687,-0.000272342557668242,6.58259795056864e-05
"Nerodia_clarkii",0.00496381154462044,0.00259708977961356,0.00143168857181358,0.00282014003066928,-0.00419201965690578,0.00433614324663743,-0.00126970919077299,0.000285631987890397,0.000585211151842292,0.0020630081869741,0.000928077313086951,2.34552585553372e-05,0.000588564881793792,-0.000117164863039966,-0.000245618601493254,-0.000125906065662797,-0.000468617144249687,0.000644656606750616,-0.000626465579809082,0.00117346965384506,-0.000581471034130994,-0.00121410780289759,0.000327443393107087,0.000329754142853995,-0.00030672230105828,0.00107862104373585,5.46844367136966e-05,0.00033954658387539,-0.000355652785289506,0.000289276386101946,-0.000532652891732415,-0.000149907442358712,-0.000151669550525266,-0.000552358012637783,-0.000409189506968269,8.09087450019116e-05,-6.2043952331042e-05,0.000347734601395271,-0.000471429554383928,-0.000605914162714212,0.00108340864618578,0.000497325203755093,-0.000556805664159898,-0.000411069204694166,-0.000471806714675624,-0.000139515954288866,-3.51777776597281e-06,-2.74195602929839e-05,-7.31835991737101e-05,2.23358529965487e-05
"Nerodia_cyclopion",0.0123854474704068,-0.00913613510246533,0.0047830636233314,-0.00503795540827815,0.00528892090762709,0.0030371665625181,0.00817663385646106,0.00603571935141143,-0.00194329304808436,0.00199986072303112,-0.00136740129504965,-0.00189506161373002,-0.000462896217629474,-0.00142123179106475,-0.000744879481296071,0.00222576425896281,0.00089061684047014,0.000520602521323128,0.00125482978583548,0.000545120941307767,0.00151528907960486,-0.000392626664244451,-0.000447415932146781,0.000224668036197823,-0.000643904860319755,0.000675754161125061,-5.74713451262726e-05,-0.000308575257143684,-9.40183933361041e-05,-5.4572656828157e-05,-0.000285713080664148,7.32578931044329e-05,-1.91658125531594e-05,4.77189797643704e-05,0.00020776743031257,-1.31405771425601e-05,-5.70232609094241e-05,-2.7182589290147e-05,-1.39241999845371e-05,1.11853132281896e-05,1.04207098217488e-05,6.21072645895099e-06,2.41351438688822e-05,6.92943531629093e-06,2.39666559576627e-05,-1.24692057359473e-05,-9.58142296450821e-06,-4.46871041546719e-06,2.27393659284761e-06,-1.56707823525993e-08
"Nerodia_erythrogaster",0.000369224404682749,-0.00311280986701276,-0.000455147069431985,0.00565362173736945,0.00184902055640091,0.00342556647242141,-0.00053418069798259,-0.000172180833621645,-0.00015628182418582,-0.000778289578668335,-0.00070970857994174,-0.00143714353948223,-0.000219050650220044,-0.000389623920963738,0.000278601812918774,0.000672549043379683,-0.000722967952822343,-3.24080903158158e-05,0.000186955470018171,0.000110175829527006,-0.00119588558113756,-0.000228556849642192,-0.000572461467984951,-0.000758202553805232,-0.00103082836445062,-0.000573014458334836,-0.000324437970364442,-0.000186682906785283,-3.47510141505641e-05,4.89842693632501e-05,-0.000152804788604965,1.69967286253044e-05,8.40720339686866e-05,-6.33988752274049e-05,-6.27943392914907e-07,4.17670564294945e-05,-1.58883732353149e-05,-8.86823267062004e-06,3.60617679225272e-05,2.53477545108067e-05,2.50046166396341e-06,8.4329852734183e-06,1.41685531728533e-05,-6.89606767882944e-07,-1.58762173312043e-05,3.34631405582643e-06,6.97921572766918e-06,5.19267845830479e-06,-1.39579825084015e-05,2.900226974722e-06
"Nerodia_fasciata",0.00617478450511382,-0.00149695057482704,-0.000470723396577792,0.00343107653202245,0.00184602675339274,0.00409882911893493,0.00148842519550016,-0.000592671787802872,0.00159227208459199,-3.56149238662213e-05,0.00147558241408584,-0.00130559978967879,0.00177567005534681,0.000447363577623118,0.000600848648856669,0.000751809926689075,0.00127647212133276,-0.00130189694091109,-0.00111225093262401,-0.00220541382570378,0.00102330163040395,0.00168468584367863,-0.00119393687505933,0.000324440723807373,0.000362030459574477,-0.000954737702985209,-7.69242032550752e-05,4.31084636376368e-06,-7.99736053289123e-05,0.000375443448518721,0.000213580062513181,4.80374637538526e-05,0.000103483248251408,0.000334324396287937,0.000516002718014465,0.000110169957668167,0.000175284782993857,-0.000318637223121979,0.000379804652542021,0.000619375706292258,-0.000986662929390498,-0.000502928074383159,0.000611331700465387,0.00041439814988311,0.000463201101980523,0.000129471545521,7.01073271709542e-07,7.1545824617242e-06,6.70530292815944e-05,-1.75303104110464e-05
"Nerodia_floridana",0.00796998325862332,0.00373490953237497,-0.000753033488232693,-0.000959543072212665,0.00341314538120413,-0.00344609610839333,-0.000302810195286406,-0.00180401608590446,-0.000206202010290303,-0.000162526605683155,0.000248170998480952,0.00127285483254443,0.000641078749333132,0.00195541022591705,0.000536268274469564,-0.00244232898746225,-0.000725166606815537,-0.000705069186908876,-0.0014226829752487,-0.000553675281376713,-0.00170573807677621,0.000463446125103708,0.000548075852671354,-0.000210230697002798,0.000846247102841647,-0.000707778238644873,9.56251691879286e-05,0.000338033321566498,9.74793947855431e-05,7.66924113411018e-05,0.000300205137531982,-8.86511843262383e-05,2.74802642307542e-05,-5.93304100681214e-05,-0.000223738557131248,1.59976719525816e-05,7.00451009823534e-05,3.32738725238822e-05,1.54329659317845e-05,-1.01036285360943e-05,-7.33303322284539e-06,-8.82663094096314e-06,-2.67795390013348e-05,-8.30177617225163e-06,-3.02721435938969e-05,1.42779765165404e-05,8.66369876964622e-06,4.52638962021431e-06,-2.07709013497975e-06,-2.09757420627178e-07
"Nerodia_paucimaculata",0.00971347874281682,0.022457875747637,-0.00109521250722304,-0.00797224464752073,-0.00351291528103966,-0.00572764169332479,-0.000576211123464395,0.00114654761227106,0.00384847885267249,-0.0013953134105247,-0.00109424662960425,5.76564726764688e-05,-0.00125197826066395,-6.27779315767248e-05,7.88510309474913e-05,0.000422546288398812,0.00105457659965649,0.00135573244259825,0.00179011020234588,-4.44095401942434e-05,-0.000486255706266726,0.000242483505298873,0.00118316904109611,0.000536589843701159,9.57315916785942e-05,-0.000130247761361275,0.000724053322119972,0.000249562787226144,-0.000285302514908465,-0.000659991843995434,-0.000172975941772598,3.77932760422922e-05,-0.000186780739171979,-4.5111317780599e-05,-0.000263903650133589,0.000170021425623898,8.12875128496127e-06,0.000156234671094836,9.8893669688919e-06,-9.75219422794437e-06,-5.3141767236956e-05,-1.61621609228249e-05,4.63321851600784e-05,3.81421628646641e-05,2.59226846316911e-05,-4.66732790701719e-06,1.55784299353976e-06,9.75340970453718e-06,1.78843601021599e-05,4.06160051066623e-06
"Nerodia_rhombifer",0.0113762420111333,0.0102701108061941,0.00275684358030333,-0.00564165815357812,-0.00273606810870941,-0.00660707191505533,-0.00118572720004344,-0.000287144751859555,0.000155320058498774,-0.00305750422496048,-0.000820011919252621,0.00123289916051376,-0.000687126629555889,0.00105747655253272,-0.000784805334630571,-0.000744565215608734,0.000102511736620174,-1.38612446982011e-05,0.000186334969198998,-0.000280392800099342,0.000345866901675439,0.00057565064406584,0.00072834573625031,-0.000746875841435757,0.000387163783988508,6.4291064215184e-05,-0.000544328571194543,-0.000507937383813376,0.000473623638267988,-0.000113862001467122,-0.000373399807873812,-0.000549056753388064,-0.000343707139037451,-0.000106959436963354,0.00050349617503638,0.000419728976699709,6.98781212974005e-05,-1.05495356780723e-05,-0.000217007312496784,4.20570341791934e-05,0.000178773244496472,-6.98723690352255e-05,9.9104579546088e-05,-1.23860173529824e-05,4.63711465612034e-05,2.5030060831762e-05,1.5898021736748e-05,1.18454469812059e-06,1.37971352714118e-05,-1.0293430687697e-06
