"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.00858518330842238,0.00251569213424343,-0.00256445642484519,8.91955539434717e-05,-0.00251665237250036,-0.000354554642819202,-0.000884617446099957,-0.000384841862745453,-0.0011355927352533,-0.00101483523652384,-0.000718695732933582,-0.000282125587801433,-0.000102756807882017,0.00151109308400384,-5.30741184229939e-05,0.000947604558450484,3.82792463099133e-05,0.000847015448425731,-0.000156122308334782,0.00027209044378252,-0.000367280042595366,-0.000337830818838167,0.000437922034784629,0.000342907326473885,-9.56890615136669e-05,-0.000461351422664072,-0.000671003753159047,0.000274745068580191,0.000440159745973756,0.000592448725468735,-0.000160166398945145,-0.000426135586810292,-0.000196498773848292,-0.000128711024373165,-0.000186083350509136,0.000244401172964202,0.000136991924411011,0.000195747014915375,2.43182977700421e-05,7.34243527533648e-05,0.000102360002872871,7.14707852610282e-05,1.04500430235414e-05,3.21619417211809e-06,3.09675746011557e-05,1.65396885201125e-05,2.54564162253396e-06,9.44172537719096e-06,1.26419492663548e-05,3.09457879758217e-06
"Liodytes_alleni",-0.00169151294758516,0.000722825246234478,-0.00267984683540097,-0.00130630977733105,0.00384236627338207,-0.00108937601083133,-0.000405865014003149,0.000804333670861159,0.0022229881744263,-0.000260719192508302,0.00315565531759374,0.000751087937154392,0.000441069558475855,0.000760194888445549,-5.8839312924391e-05,-2.26618533352496e-05,-0.000135388318453943,0.000322519612854958,0.000271268546196499,-0.000382272991402215,-0.000420937170984565,-5.46921515446389e-05,-3.62910119547229e-05,-0.000164323306465308,-3.51869967164295e-05,0.000616089681073293,-6.32324979082971e-06,-0.000171510328607012,2.47924229728838e-06,-0.000728960784150944,0.000527463951278878,-0.000118845136102001,0.000123855830458455,0.000316579820430088,-9.9928872030837e-05,-0.000419732305802919,0.00016452813259491,0.000170783579141819,-3.15967693202704e-05,0.0003514365099091,-0.00016742116318929,0.000443062005187198,2.06007085759429e-05,0.000424378095686588,0.000191441021728271,0.000470868666620506,0.000500737441517018,-4.64945769926984e-05,-0.000145786829416304,-7.9077056125196e-05
"Liodytes_rigida",-0.00331458634232636,-0.00357371156634264,-0.00506174466077927,0.00298573301829722,-0.00250191271533464,0.000718795788412895,-0.000817430337142959,0.000269349498349839,-0.00116725313491052,0.000693829599510406,0.00135120319621715,-0.000171587825279335,-0.00032624977792472,0.000398575889633,-0.000321163750838682,-0.000283299244911874,-4.20253814512645e-05,4.57705951016908e-05,0.00109842741083945,8.69467743006124e-05,-0.000696896935558118,-0.000461047531661524,0.000212175915785523,0.000255177159573838,0.000301550952505325,-0.000451826828709758,0.000647279036642125,6.69182186417525e-05,0.00018351098833468,0.000145781869438445,-0.000324419110175952,2.39002832836323e-05,0.000194349801402876,-0.000100195330559618,0.000130571521734445,0.000102437091490789,0.000178030633735086,-0.000348651996098853,-8.39362078140398e-05,-0.000234546744146989,0.000198679709579696,-0.000422698320611032,-2.54810833938024e-05,-0.000408147748440074,-0.000207967774144383,-0.000493469419915313,-0.000527613020284279,5.14135598789308e-05,0.000144188401913236,8.17008368939243e-05
"Nerodia_clarkii",0.00676178417711304,-0.00152889166892236,0.00179013579404503,0.00132231503370404,-0.00101805505491477,0.000973169581902021,0.00203148636498692,-0.000256432343811245,0.00143782038061877,-0.00104929825808412,-0.000993023545794723,0.000330656146812866,0.00120274648966352,0.00156291756943003,7.86200713446075e-07,0.000386748700679094,0.000544982015639998,-0.000386768233580194,0.00016152949335004,-9.69813074544042e-05,-0.000705183001471974,-0.000474458882904515,0.000272028869424803,-0.000132799715100324,-6.55949575378517e-05,-0.000656308946677078,-0.000148199662146723,-0.000223218788272187,-0.000257307266076166,0.000336751206345224,-0.000159073655975772,0.000243943215340174,0.000612606635974598,0.000594264679650917,0.000500850286355428,0.000103634304084059,-8.36830008802276e-05,0.000327176972151065,-0.000123970657180652,-0.00011485324904501,-0.000383436385286381,0.000371107744050522,2.86710716743022e-05,-0.000324449194365765,-0.00011566082078675,0.000449539505247019,-0.000288616872269145,0.000158548139797271,-1.12744777130406e-06,1.40878532586022e-05
"Nerodia_cyclopion",0.0109991252615865,-0.000644405623602218,0.00052925956651215,-0.0017828710557689,0.00705930778089129,0.00103093405722377,-0.00215522980255158,-0.00138971712679254,0.00021460847569318,0.00174812508862222,-0.00104974680622864,-0.000853525023857269,0.000979610978538287,-0.000322898003834804,-5.95003726778596e-06,-0.00132428580941486,-0.000442853503742928,-0.000498339325918214,-0.000128369782101545,-0.000302353545745601,-0.000136008591925127,-2.99329280604776e-05,-0.000216034687160968,0.000642627782756475,-5.26686683535178e-05,-0.000337729987489823,-0.000641003647478106,6.79154333359036e-05,-2.65939748206083e-06,-0.000657903501590616,-5.75443844774083e-06,-0.000273261586547539,-0.00014575796685516,-4.57083881312335e-05,0.00023418726227596,5.06587975528901e-05,7.90533199334918e-05,-2.3183067111351e-05,8.88223439234262e-06,-3.4702646962217e-05,-7.55134055080521e-05,-1.11870997679893e-05,2.20303567098839e-06,1.422097323279e-05,-1.85607370451558e-05,-1.08837920664868e-05,-2.84399117612171e-07,2.41725564935897e-06,3.00625335686391e-06,2.78254011383818e-07
"Nerodia_erythrogaster",0.00350251681293161,0.00260904183070816,0.00185373034387665,0.000233661300143335,-0.00245077359438229,-0.00219439232555286,0.00167743465627234,-0.000430085241467113,1.42212274160569e-05,0.000288191051228534,0.000402228247556016,-0.00062122751752987,-0.000783163506180869,0.000322958448098212,0.000242267432741359,0.000139752837993527,0.0003777293106687,0.000868478670867239,-2.56486667192455e-05,0.000777129479609608,-0.000889217556013435,0.000431750107291361,-0.000834712308938681,0.000519653208841205,0.000187165506789242,0.000158232013657512,4.0738290616902e-05,0.000208487781443904,-0.000182359531124138,-1.71131273686711e-05,0.000158993464851475,3.15934132772416e-05,4.74778507816227e-05,-5.88658527472762e-05,-2.85312651305851e-06,4.11562477549106e-05,-6.61649032801319e-05,5.90570044876558e-05,-3.52563033184008e-05,-1.32412810808346e-05,-1.46302802674464e-05,-8.23183237887017e-06,-2.40771975962028e-06,-9.92736743161182e-06,1.22777684164989e-05,-8.01817059951207e-06,1.97419298469913e-06,1.33540322980089e-06,-1.77024174387232e-06,-1.68812895665129e-06
"Nerodia_fasciata",0.00701125854334517,0.00398699009880802,-0.00171265361739603,0.00178508032954027,0.00116869864640617,0.00178935631808311,0.00359821330200405,-0.000780746386847842,-0.00147520578438644,0.00212844316362296,-0.000323459064577782,-0.000655288556087658,0.000570963081479678,-0.000609411796071254,-0.000780409810492823,-0.00105849212035081,-0.000862672941648589,-0.00159136752013559,0.000490650763849577,0.000187878208355385,0.000508033523298754,0.0011088982356665,-0.000758081220875539,1.31225788032113e-05,-4.66558737037914e-05,-7.10033950357866e-05,0.000228395590226616,7.19654466624065e-05,0.000706034281821951,-0.000111630423023716,0.000277389681695919,-0.000132641233065146,-0.000581260402091273,-0.000503950972119659,-0.000542614727720122,-0.000168535122919261,5.50109029171123e-05,-0.000300347692950872,6.36899512766453e-05,0.000153142134090551,0.000417260326501732,-0.000356186096505374,-4.04203526789173e-05,0.000291959318812885,0.000119141130108955,-0.00042498983498306,0.000294688629206708,-0.000154186661259052,6.01742968864389e-06,-1.47672153175165e-05
"Nerodia_floridana",0.0145299154208421,0.00216278476911112,0.00410123842154283,-0.00479034737110077,0.00421885095115581,0.000110593446782329,-0.00254494154184018,-0.00119793750540744,-7.94375651910716e-06,-0.000588607255928096,-0.000502442587778986,0.00144448863792992,-0.00122267729855977,0.000872751273233904,2.13010388852592e-05,0.00117334607608198,0.000263094456580235,0.000606734052701632,0.000381291344614183,0.000285972763080215,0.000219588854443607,7.21901422039005e-05,0.000181452567456619,-0.000644867093093527,0.000128363976760433,0.000287877050399185,0.000600797536606765,-0.000109950917045824,1.50928072312141e-05,0.000642179363139199,4.2586280604783e-06,0.000296111317847756,0.000170873425312033,5.09467892082897e-05,-0.00023445776986901,-4.97585854175445e-05,-7.26573703430882e-05,8.40663907166724e-06,-7.76550699479234e-06,3.66035186321049e-05,7.85054558104942e-05,9.10163049550449e-06,-4.01860639178676e-06,-1.37949801105579e-05,1.63583028961798e-05,1.23397983575783e-05,1.67600866357505e-06,-2.4067981726757e-06,-3.30033929928841e-06,-3.12961540037988e-08
"Nerodia_paucimaculata",0.00232274599141233,-0.00205871309074908,-0.000819939084761166,0.00122282094024884,-0.000932686363112527,-0.000339691734450797,-0.000301664350498447,0.000653427997128278,-0.000642354620894802,-9.05782382322068e-05,0.000139046311400651,-0.00132626274330481,-0.00111178827494842,0.000491007458110793,-4.49036583902287e-05,-0.00101788174167513,-0.000700991298382408,0.000740753732106721,-0.000974785271680757,-0.00105905005416037,-0.000327684279556699,-0.000167657332440603,0.0011004341040884,5.60718444925274e-05,0.000259711273193243,-0.000264646682974786,0.000287620265518883,-0.000281013210492845,-0.000622866206048161,6.09072367896426e-05,-0.000125485560410186,4.61629147841876e-05,-7.10311069171827e-05,-0.000274085412611061,-1.76134723195252e-05,-4.68150854196853e-05,6.52538971608031e-05,-2.57753722440794e-05,5.17525644248261e-05,-7.6073164247146e-05,1.76468723190031e-05,4.53769488323512e-05,1.63723863147794e-05,2.32960352800694e-05,-3.3138779957306e-05,-5.88762527920793e-06,2.03220918082991e-05,-1.2291330020206e-06,3.76598950147323e-07,1.43541703721774e-07
"Nerodia_rhombifer",0.00877929112643336,-0.00318042100902834,-0.00294087221806556,-0.00111956642633161,0.00285652023217326,0.00167640784491956,-0.00156720024613909,0.00196927752350132,-0.000282202022366461,0.000554578703365015,0.00127630723842484,-0.00159516718692966,0.0010363463292696,0.000290785500835252,0.000205017300450831,-0.000122219599644789,0.000185624151577465,0.000217303734451398,-0.000465007055789766,0.000106764625095029,0.000313940416881231,-0.000934812238465218,0.000109195779952579,0.000324469294017163,-0.000999497539846267,-0.000405227263918465,-8.91335568128945e-05,0.000306903829699417,7.86031752065829e-05,0.000229843550113457,0.000192809528450786,7.83218732127634e-05,0.000387198406709423,-0.000229291548913866,-0.000129635817555375,-0.000175572370941281,-0.000102082378185944,-8.76383017544799e-05,0.000121194954845306,0.000140667320111326,-0.000174016977917729,-0.000103345130344132,-5.68676839450645e-05,-1.29117213420767e-05,-2.14813435419585e-05,-1.3896436061792e-05,2.15288297929149e-05,1.13660159506771e-05,-1.74177109547659e-06,-2.73599699489112e-07
"Nerodia_sipedon",0.0109736172474047,0.00293407887139439,0.00558946889237638,-0.00310859766873592,0.00174305199901784,-0.00164560160361586,0.000636380223511385,0.00101652860872879,0.00137923619593672,-0.00294688512183742,-0.000725252718159212,0.00234731592928602,-0.000373936652452757,-0.00102495364328669,0.000833669636727168,0.00137444244189861,0.000391428595617675,0.00108375721036496,0.000344337713483153,0.000157103110045513,0.00106378341050011,-0.000857455780725701,7.74650890704985e-05,-0.00036575126352246,-0.000212170026003457,0.000977561462002726,-0.000378657020164082,0.000284398688520952,0.000226637171290725,-0.000331785156102199,-9.59739730257111e-05,-0.00021742921072672,8.4339262626816e-06,0.000191833748447328,6.79608421886338e-05,9.51611690507104e-05,1.67481206087273e-05,-6.26064158571195e-05,3.95185401146703e-05,3.23296054886953e-05,-4.27735062446157e-05,-5.44022986439975e-05,-2.03941767025203e-06,2.28777807372737e-05,1.76350369846389e-05,-1.69931893354094e-05,-2.78311424480137e-05,-4.87919337212296e-06,-4.75365707686871e-06,1.95552090076492e-06
"Nerodia_taxispilota",0.011409506506912,0.00568491272086828,0.000270755149543377,0.000921765411249817,0.00134419826134265,-0.00252754641165683,-0.00124618579607502,0.00158715301791472,-0.00255232223405211,0.00111471554375584,0.00141752812406317,0.00156971100843221,-0.000312113809678519,-0.00130409537820854,-0.000356112144856839,0.000389151334975052,0.000407692729569789,-0.000826180084005187,0.000175563080628251,-6.83822071201768e-07,-0.000184093579660087,0.000824512391612664,4.1532651439554e-05,-0.000318452520797124,0.000857940661204194,0.000334300515091771,9.29026204240532e-05,-0.000306318259407702,-1.65364150178663e-05,-0.000157111937072144,-0.000246547978306902,-5.90515150945144e-05,-0.000414193316104651,0.000258528496296878,0.000114215887893282,0.000156654425278146,0.00011015761032607,0.000103731684904499,-0.000116662679807501,-0.000127147057331473,0.000175745819398567,0.000104678669572614,5.83728649396454e-05,9.07573212723924e-06,2.41181345190978e-05,1.72812289588196e-05,-2.24056034085688e-05,-1.00560846274014e-05,2.64401082713282e-06,4.17149089416095e-07
"Regina_grahamii",-0.00347983608784038,0.00191667629122569,-0.00389903565615437,0.00254884930047608,-0.00580058005318025,0.000869860100066451,-0.000668471855893799,-0.00213277671263299,0.0006698696288616,-0.00102840872326691,0.000689623823892097,4.42310979044968e-05,0.000290804963663352,-0.000250692403010496,0.000229040710292503,-0.000219566887300347,-0.000270389676881958,-0.000169105118691093,-0.000173139354804774,0.00014669872925156,-0.000132708429711281,-5.20184883839302e-06,0.000256860396157245,-0.000121420501614924,0.000198481912528679,-1.64985008081499e-05,0.00033547344199461,-0.000188780976781934,0.000175851725670134,-5.53162363979165e-05,2.67780116934314e-05,1.39545485988382e-05,8.80473589888271e-05,0.00011416272355547,-7.19830161854131e-06,0.000250589277541141,0.000183670194895839,0.0002643645040163,1.9554296622222e-05,-6.06267320625244e-05,-6.7592149309377e-05,-0.000254307584787985,-2.89275885391795e-05,-1.24564393071243e-05,-5.80177101134687e-05,1.15080215913526e-05,7.70298711792308e-05,4.06545878375797e-05,-2.53397125844191e-05,2.78779750365743e-06
"Regina_septemvittata",-0.0032464665803142,0.00148397245288417,-0.00313895160094057,0.00285469012112443,-0.00698985847724526,0.000508517330135614,-0.000457181128104884,-0.00209878875673943,-0.000469289920910282,-0.000593871851258257,0.000207147649243022,0.000354536964624039,-3.0388746179919e-05,6.7974451526612e-05,-0.000211957891264115,2.55708331506611e-05,0.000316289621390726,3.59168229863306e-06,6.81087848828866e-05,-0.000103161432549129,0.000183265718969653,-1.62948115990966e-05,-0.000217943511341215,7.86442673688964e-05,-0.000256802630529524,1.37498073338331e-05,-0.000324298483596262,0.000154973186114061,-0.000147206813950648,4.91063034962696e-05,-2.86788941184825e-05,-1.66896143222553e-05,-9.06950280631186e-05,-0.000114783915766196,2.06957273466629e-05,-0.000249068012971796,-0.000188809767087776,-0.000271733921811553,-2.0861925043299e-05,6.32156086619086e-05,6.71404452542949e-05,0.000255134694435322,3.10191345317874e-05,1.42455478555114e-05,5.79361850925372e-05,-1.08933661895009e-05,-7.63115994243171e-05,-4.15792677182501e-05,2.59862369506532e-05,-2.68279950475356e-06
"Seminatrix_pygaea",-0.0027596989822589,0.00328315498574481,-0.00116690943569764,-0.00223379038611442,0.00437579057063279,-0.00201575826877757,0.00187190747987794,-0.000173935351471581,-0.000284733941839384,2.61863952749779e-05,0.000547727455860251,0.00107194874290601,0.00113502228903862,-0.00121097656875353,-0.000365375080263012,-0.000791627470954081,-0.00173380097279731,-0.000211788447894972,-0.000523484543111257,-0.000244076245565958,0.00172493529546633,0.000663275606283061,-0.000701347131862304,-0.000177083642112228,-0.000139895425951464,0.000192498639967941,-0.000137390161270165,-1.84026954791772e-05,-0.000444103381177005,0.000189827248658233,-8.8909166795105e-05,0.000446662660129115,-0.000235891268967531,-0.000123012575934132,0.000122678940566655,0.000217867607488677,-0.000535190869260106,9.47113572851026e-05,0.00011672701824872,-0.000172129684004351,-9.59657345314647e-05,-5.22996848621601e-05,-1.72977557299093e-05,-2.65909533824409e-05,-9.52395866230289e-06,8.72983907631526e-06,2.36741726661647e-05,-1.29994170640681e-05,-5.4953095957602e-06,-4.66872368616275e-06
"Storeria_dekayi",-0.00995209420432493,0.00499807807300036,-0.000534249069007372,-1.28625292283724e-05,-0.00293570650498818,0.000877478614380154,-0.00191852337361253,-0.000686162341791135,-0.0014869210383091,6.54466639088294e-05,-0.001225664362447,-0.000370408874534818,0.000100921447699724,0.000751342410536225,-0.000921106194734604,8.28635066146596e-05,0.000595277227031887,0.000300487761284364,0.000245944799213665,-2.2865432771366e-05,-0.000907566274231592,-0.000914436032840117,0.00074046118758303,-0.000376888290860817,-0.000256072726065378,-0.000877340219570468,0.000307534383605208,0.000302616053953699,-1.9960492609746e-05,-0.00057319877928341,-0.000432062712752364,-9.85716530933665e-05,0.000188066590253004,0.000427742308290983,6.04029543039655e-05,0.000202263629816519,-0.000462039990445632,-7.03662219574287e-05,0.000225831407775644,-0.000183608741323892,0.000336625778858333,-4.27615920783997e-05,-0.000164257126138222,-4.84359502105805e-05,0.000184792294770362,-0.000300589333116089,-0.000177744578763314,0.000318693635823227,-3.44149852321913e-05,-0.000677822770443248
