"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",0.00754819872098485,0.00153995545051303,-0.00155399409355487,0.000579683630677327,-0.000257767841430769,0.00139270986404827,1.3581940768865e-05,-5.42169289843318e-05,-0.000909777842803776,0.000743480336613683,-0.000531006151082846,-0.00039723869406122,0.00119924912118731,-0.000111335827783882,0.000589431509851465,-0.00023826604056102,0.000570159986001431,-0.000366601488159992,0.000180172630164633,-0.000116778415230285,0.00054547602482465,-0.000197592714308006,-0.000145580158447416,0.000557958123751507,0.000387474912486473,-8.05356045379515e-05,-0.000138029254168863,-7.3065935215414e-05,-0.000133996458942549,0.000194194200639666,4.63379895412831e-06,0.000198097791017383,0.000138002828961108,-5.24071296354124e-06,-7.15351210027967e-05,-0.000166940962977062,-5.27811856546084e-05,-1.40219646923959e-05,-2.85495500278098e-05,-1.15355020231583e-06,-6.2668088962631e-06,-9.64972968439659e-06,-4.86197946783522e-05,-1.63615949851992e-05,-1.53172353269579e-05,-3.71055807675479e-06,5.1746902861293e-07,-2.99098402616719e-06,-1.18201539066252e-06,-1.65495996479358e-06
"Liodytes_alleni",-0.00631109275615438,-0.00464414430637212,-0.00177643611266647,0.000235077315752447,0.00111198439840717,-0.00310476040154913,0.000545773013078057,-0.000472241577013649,0.00102010317641784,-0.00143596992358672,0.000373604429000042,0.00016695435564877,-0.000839481018530316,-0.00159313983041831,-0.00037413667520856,9.27328279065171e-06,-0.000350608614359576,-0.000329561068098597,-8.30622297047752e-05,0.000917685951039528,-0.000361762988979467,0.000356232110665006,2.23920288912864e-05,-0.000283709084419574,-1.12198348510652e-05,-5.70965573392343e-05,7.70010936042635e-05,0.000419395261108829,0.000111483555006889,-0.000355543860266533,-4.01415143304294e-05,7.03382814591583e-05,-0.000103692700068679,-0.000118182518844803,-0.000131403266209329,-0.000169325297297711,8.30755145759219e-05,0.000248722981742942,-0.000173116179680231,8.64299975862843e-05,0.000105897042579358,1.7158258751494e-06,-9.32530414281624e-05,6.81128349001341e-05,5.46631264288876e-05,6.26117746479344e-05,-7.68103340458633e-05,8.876014450847e-05,-3.62627132182883e-05,-1.19240909499925e-05
"Liodytes_rigida",0.00157024439293702,-0.000148568846461239,-0.00276041888174745,0.000974106657803556,0.000123229527136791,0.0012337972090152,-0.00129323824073882,0.000326900498643092,-0.000266321634618355,0.000739340567690552,-0.000324249816684953,0.000423298188186671,0.00087937257464601,0.000844032587560414,-0.000947922996229137,-0.000238950534253993,0.000684175526010262,-0.000375089398934843,-0.000234506556968894,-0.000285012918754003,0.000214104977896933,3.14895373866703e-05,0.000301918370284188,1.98640346061115e-05,-0.000141406908932112,-1.45725404689843e-06,6.19105018844047e-05,0.000238903226810661,0.000130457113057966,7.16085183199992e-05,-0.000162912712675797,-0.000164968773444176,1.99280225551451e-05,0.000147396319865262,7.1630855207842e-05,0.000130888056382363,-5.94025828357529e-05,-0.00018985091971996,0.00017712054578263,-5.97144068907544e-05,-9.23609338409104e-05,1.11948796465899e-05,6.95101009377813e-05,-6.6568542271034e-05,-6.17523430982174e-05,-7.59323321425679e-05,8.93602309116778e-05,-8.5523937502241e-05,4.05981508816602e-05,1.15024482490123e-05
"Nerodia_clarkii",-0.0111474877951357,0.000375687174548752,0.00109259138284708,0.000727774561538645,-0.00207063632540599,0.000171774838521056,0.000398082199483634,0.00191340200999166,0.000499068556825397,-7.58429364693922e-05,-0.0003205773112739,-0.000260907298331852,-0.000557548126685823,0.0013963674311192,0.000215943473168435,0.000623312010502282,-4.80059389954694e-05,0.00033152044254926,-8.07660106245848e-06,-0.00018411747212304,0.00098731732400135,-0.000298263237901487,0.00016018678337964,-0.000205626113931577,1.33934168691898e-05,-0.000108968490530376,0.000139524095593728,6.09493101606728e-05,-0.000165059808489684,-0.000415353641570032,-0.000118694869326737,-3.39208306881101e-05,6.59618989121059e-05,9.52086166665604e-05,0.000206544679770659,-3.38549962613484e-05,-0.000210103227366879,-6.10740919027619e-05,2.26102658794154e-06,0.000116216553471057,2.13975071887775e-05,-0.000295304592174559,-1.53650028708037e-06,-1.42830528143248e-05,8.91007867476327e-05,-4.45982133720979e-05,4.10422859091854e-05,2.94323642670795e-06,-2.17156570888692e-05,-1.26963714950914e-05
"Nerodia_cyclopion",-0.0147901473904168,-0.00504469559637129,0.00136899020578444,-0.00217546491928237,0.00103013380701958,-0.00319280083521038,-0.000698908419347403,8.09262705471653e-05,-0.000527452497996779,-3.48533382702441e-05,-0.000472759587591248,0.000647459461131163,-0.000640994177935179,0.000508456045957543,-0.000231784214236415,-0.000118332682990303,-0.00043019736977811,-0.000355170547888921,-6.06007706339269e-05,0.000345968453470789,0.000185732957118544,-0.000129645373312509,-8.97920381983667e-05,0.000348223650270552,-0.000322726600412704,-0.000443180218389318,0.000204719706850156,-8.67849419199399e-05,0.000174265586586346,0.000180061475090939,-0.000138694292370342,2.1203196924165e-05,3.90747934352337e-05,-1.90539605166811e-06,-7.57632522319659e-05,0.000106241677259242,-4.35995666102443e-05,7.11889876070576e-06,-8.76653420529323e-06,4.0569004389618e-05,-2.40937851392252e-05,-1.48073400984236e-05,5.7146124959023e-06,4.65746503786895e-06,-5.82441967893372e-06,3.79917960963394e-06,-2.88781831188309e-06,2.60524585842708e-06,6.50835039655372e-07,-6.34936190545775e-07
"Nerodia_erythrogaster",-0.00233342935422491,0.0019852018051159,-0.000123197228025106,0.000479683483396587,-0.00141541098484677,0.00213447764429413,-0.00060321790501837,-0.000107450278844632,-0.000649439368699207,0.000116744840034952,-0.000473226962056992,0.000732429867119026,0.000586498398059707,0.00128814778100647,-0.00020989147883424,0.000384615732357253,-0.0004900906457665,-0.000124895085273212,-0.000602092575500806,0.000282552413611591,-0.000272673856334815,-0.000192245335052855,0.000306105646164043,8.09791517966546e-05,4.32469050752724e-05,5.8689956569354e-06,-0.000257693020482545,-0.000121744336265524,9.30153352721949e-05,-0.000125142107352161,-1.43804740716034e-05,2.20269439338676e-05,3.2045128333216e-05,2.81406902403208e-05,5.92044781437436e-06,-3.04169777527615e-05,1.97540430517466e-05,2.35225206490761e-05,9.98740133219949e-06,-1.60511049217755e-05,-1.70682588924941e-05,-4.16174575456116e-06,-2.51120449172943e-06,-8.83475444131989e-06,-4.57655449209988e-06,4.00590222309439e-06,-2.46719709410417e-06,-1.70888843427673e-09,-2.88074640047718e-07,-4.36390150726539e-08
"Nerodia_fasciata",-0.00877685465363668,-0.000581133773691354,-0.000438390607098072,0.000482215394632676,6.84821932903812e-05,0.000622150225007762,0.000995617776932148,-0.000838053122570644,-0.00166856530026363,-0.00101722081717527,-0.000921155161257288,-0.000863278158859831,0.000527410015056073,-0.000589443127551199,-0.000529827605797065,0.000227022226559898,-2.89906032982745e-05,-0.000215010141650793,-0.000165951810756531,-0.00021668960691951,-0.000151904813169123,0.000961131799881942,-0.000508680984398874,0.00018015956954426,0.000309854281447782,-6.64300779422024e-05,-0.000211650899347427,0.000159839609666058,0.000193811829158537,0.000371164017050964,0.000132157461853667,8.0187533170627e-05,-0.000128863705599653,-0.00011076968465581,-0.000166936723445408,0.000116875224063838,0.000168083256352155,4.97974958274412e-05,1.15114381536352e-05,-0.000127559201213686,-3.89241168414668e-05,0.000298656503772331,-5.84657860915034e-06,1.6121672762874e-05,-8.33004211607766e-05,4.89999178858395e-05,-3.97853413268568e-05,-9.65244269249483e-08,2.07788653451151e-05,1.11762669319658e-05
"Nerodia_floridana",-0.021653989600814,-0.00435798583033765,0.00252428745376854,-0.00307865244711974,0.00198843595555038,-0.00312643382661603,0.000376741907586812,0.00133622131972565,-0.00161369671331594,0.000461400053954277,0.000131158005682001,-0.000571492670028071,0.000741946616327881,-0.00067529194393544,0.000273974084959372,4.56582624185299e-05,0.000298966058173261,0.000392029371947936,7.24488626721085e-06,-0.000389580589057861,-0.000183740316977714,0.000142851129202401,9.97931130299591e-05,-0.000315795904120377,0.000338293468622274,0.000428449121051808,-0.000175902187276419,8.77090766537112e-05,-0.000173947507112277,-0.000172474806218337,0.000137273706295337,-2.07129698689377e-05,-4.33561255301962e-05,-4.17390254489311e-06,7.73921390938406e-05,-0.000103728038982547,4.14677324507611e-05,-4.62352472103616e-06,8.83346107506055e-06,-3.78041043793994e-05,2.13714145076811e-05,1.29027215091179e-05,-4.90419213784317e-06,-4.74049903001554e-06,5.82428856888982e-06,-3.72100588895359e-06,3.09055006433188e-06,-2.60261490317589e-06,-3.9464452044046e-07,7.10119475735835e-07
"Nerodia_paucimaculata",-0.00769632570823874,-0.00029231378782871,0.00163517927977914,0.000381243624306199,-5.55076148065364e-05,-0.000681776105706908,0.000680735226913015,-5.44872418443482e-05,0.00233360601652347,5.61577369538362e-05,0.00112975970956638,-0.000286789717903308,-0.000167804855083003,-0.00154355619204421,-0.00066242958863691,-0.00156346750768113,0.000384201148446481,0.000112539135692436,-0.000387499319360617,0.000285081894280623,3.79208769944124e-06,6.78880958886832e-05,-2.7228750209575e-05,0.000229371510785016,-0.000263468650674625,-5.73084402792063e-05,-0.000155948694751493,-4.67195020926418e-05,-0.000204790760508522,0.000126105026085972,-6.03968687463402e-05,-7.14818064830127e-05,-4.4441445698651e-05,-5.10018021700409e-05,6.28995750257317e-05,-3.97326545600175e-05,2.88373123311444e-05,1.33002378493373e-05,-3.65479575284917e-05,-2.67158570622914e-05,-8.10629247135884e-07,-2.71712066767846e-05,2.68714518128471e-05,-4.76183014549594e-06,9.4081751689619e-07,1.79666204616898e-06,-4.77770722195043e-06,-6.06534140127021e-06,-6.38582853717591e-07,8.3394881988053e-07
"Nerodia_rhombifer",-0.00853732683645763,-0.000791614034098711,-0.000103986082261479,-0.000197056529272612,-0.000378217207523584,-0.000263535468721095,5.05285565226363e-05,-0.00265882707906454,-0.000707889739919751,-0.000134657328906189,0.000948050697855466,0.000782312595451273,-0.000222693157772143,-0.000983320604524328,1.35297683795235e-05,6.14897133389198e-05,0.000232854425969003,0.000402917214337083,-0.0001333645119015,-5.73893905633966e-05,0.000471902166985251,-0.000360867363343339,0.000267000451035359,0.000224186321443303,0.000102935139807581,-0.000139303939630594,-0.000359032219527364,-2.06750003865967e-06,-0.00013357902111413,-0.00017110207738912,-6.03130448540656e-06,-0.000111466577463726,0.000109012795656531,2.95066215181494e-05,-4.34053412943551e-05,0.000110775423438307,-4.60732708093481e-05,-7.21308807807395e-05,-5.10290645795808e-05,4.44883420005457e-05,4.16192306054386e-05,7.07920256002497e-05,-2.65634174985866e-06,1.19369123382819e-05,2.00839878776901e-05,-1.02054066380994e-05,4.98446268197969e-06,2.64578697331346e-06,3.22743884800222e-07,9.55797170437592e-07
