"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",0.00716487710137395,0.00328303849370316,-0.000433811129570104,0.000636675371470509,0.000218478820995223,-5.51561267241354e-05,-0.000285474836593768,0.000183223808476364,-0.000586247896065686,0.000305794859904392,-0.000166534795017188,0.00120950488729812,-0.000330116502893623,0.000337403748462387,-0.000907630393244802,0.000209248964595455,-0.000215258319847309,0.000265809191717448,-0.000232209774978904,0.000265169484257534,-9.35504736811016e-05,-0.000173209601119804,5.75263739472954e-05,0.000294774342871613,2.7926555610263e-05,3.34141919439606e-05,-0.000158646411552703,-0.000200574384424565,0.000267229331947242,0.000159294815492254,1.18804340406629e-05,0.000151682624379459,4.11944353281766e-05,0.000186990108034359,-0.000224090151005705,-1.20465285328778e-05,-2.42157137496991e-05,-6.764714112059e-05,-5.12611733694556e-05,-9.02653891222804e-05,3.20252714013964e-05,4.90448286496002e-06,8.33108112322546e-05,9.43799139177289e-06,0.000137009424583291,1.99624438983576e-05,4.22019536779716e-05,3.12141220367947e-05,5.99678919313353e-06,8.10543492455088e-06
"Liodytes_alleni",-0.00612390902373478,-0.00583448323723826,-0.00205910380584835,-0.00172560237217422,0.000410384779621489,-0.00042944858061724,-0.000231455672376894,0.00103444361175957,-0.00159446313780769,-0.000502449504095808,0.000512766298049703,9.92084356288205e-05,0.000428287328061219,0.000319884984568029,-0.000523813372625246,0.000301581472842346,0.000299414320682903,-0.000548906199791248,8.81044374124503e-06,0.000312354262718919,0.000149196710182498,-0.000123253302781282,0.00018517199071666,-0.000213688624263384,-0.00057241999469576,0.000293665153470612,8.92697379934756e-05,-0.000122138980014993,0.000179702824096346,3.11937083515659e-05,5.012247882269e-05,7.58564567014932e-05,-7.8834994151949e-05,-7.27003048446456e-05,-7.84652694970045e-05,6.06770088855837e-05,1.58877636011751e-05,5.67315948759368e-05,-0.000107435064024343,-5.35409989317524e-05,6.60020658971928e-06,5.52674427589349e-06,8.67235788617428e-05,4.92304821757308e-05,0.000121292639512774,2.67534112380716e-05,4.15370199111465e-05,3.71061662377209e-05,4.27799275405874e-07,1.11729265714894e-05
"Liodytes_rigida",0.00159986780304293,0.00189748042884109,-0.000119733389885013,-0.00159562079380425,0.000283157944399243,0.000533488240344089,0.000915099826785902,0.00186531101769445,-0.000793879668093965,-0.000400988762007477,0.000923404021181211,0.000596201065965641,0.000549840105339334,0.000286748045658473,-6.85815440757914e-05,-0.000227933629346176,4.32939170294081e-05,-0.000812803904157617,-8.22808640644536e-05,0.00018574955371765,0.000301719556822172,-2.66179571048215e-05,0.000278996252342592,-0.000133878393821813,-0.000244013066682877,0.000287405796248652,0.000220486828434531,-0.000243204954394187,0.000134752346787367,1.21381227580253e-05,3.91339819509432e-05,4.65762893008579e-05,-4.61488742181962e-05,-0.000129255554088259,-7.70277752205552e-05,2.41594023217828e-05,6.52139362944455e-05,4.45758929750422e-05,-8.97662062258929e-05,-3.28185688904328e-05,-3.10285777499843e-06,2.12813494439502e-05,0.000102941326740686,4.09624261276646e-05,0.00012105463557195,3.31524385104644e-05,4.0922761979768e-05,3.68119268212493e-05,-7.78054816610335e-07,1.30766056390622e-05
"Nerodia_clarkii",-0.0114090942092133,2.14340836324973e-05,0.0028969881749418,6.56935505797474e-05,0.000439544701026468,0.00181105533971707,-0.000250573563145819,-0.00010313722689678,-0.000392132447505542,-0.00122378780605084,-0.000105168413498679,-2.9639283264463e-05,0.000812359868162584,-0.000547976460485681,-0.000685901967041609,0.000465394863138152,0.000393782965112043,1.38568433866293e-05,-0.000410859116423792,3.61009439906981e-05,0.000300914153683978,0.000169654897228604,-0.000145340763410919,0.000189311333412619,-0.000415966183303628,0.00024898019882562,0.000165304941428667,-0.000348680136839777,-4.36711081852611e-05,0.000194218015455408,6.14779039395001e-05,0.000260225405768503,2.33638771777939e-05,-0.000136145648723214,-1.63809507960122e-05,-3.68902210977667e-05,-6.66346017175379e-05,-8.02185412695403e-05,0.000206133832282568,-5.10165534621577e-05,1.07622357918286e-06,5.4751587430295e-05,6.15163562195485e-05,-1.69839043203297e-05,-6.51590299209441e-05,-1.89605164336914e-06,-9.04698326824278e-06,-5.35146637436697e-05,3.00321300616386e-05,-3.39044923422123e-06
"Nerodia_cyclopion",-0.0144636814066861,-0.00640537714365738,7.93280309414109e-05,-0.000929092512969364,-0.00155789779815063,0.00190788723560577,0.00162946223633331,0.00186574727391206,5.78706548232767e-05,-0.00105641268988419,-0.000804224936231598,-0.000649055259016874,-0.00101962084149636,0.000284970019798884,0.000789879301914125,0.000171052693134621,-0.00111292187848859,-0.000311745058344756,1.8534919778341e-05,-5.84256680096171e-05,0.000670648921516568,-0.000122044789211172,-0.000424416009800953,-0.00037862773854293,0.000100375044018771,-9.34498498546942e-06,-0.000273141270065395,-7.40391823248109e-05,0.000369896951823314,-0.000199273774911595,5.72214042886152e-05,-0.00022260728819957,1.52104868687759e-05,0.000311569061872258,-9.8969782279266e-05,-0.000115184878960378,3.10757256656294e-05,3.47390439077145e-05,0.000189137915755702,8.30971334116508e-05,2.06797507477419e-05,6.32892668020539e-06,6.93927988077032e-06,2.61833886908376e-05,-2.25205238563773e-05,-4.020656239988e-05,-1.21447112391371e-05,-3.32288360726269e-05,9.27056489741748e-06,1.16639777383069e-05
"Nerodia_erythrogaster",-0.00253576043789124,0.0030415980040622,0.000709985029723245,-0.00015072150097653,-0.000603999544395603,0.00152166442212638,-6.0720375022143e-05,-0.00049130380296803,0.000198926068075813,-0.00129657978371947,5.66111065812775e-05,0.000148444574331007,0.00103269989338581,-0.000262628444974358,-1.89971918867116e-05,1.94892897416177e-05,-2.29672549555458e-05,-0.000702374224412574,0.000641320924303192,-7.38480653162659e-05,1.70825344038138e-05,-1.4700746949665e-05,-0.000786160902456154,-0.000115892760237182,-0.000203624007515109,0.00013561979957204,-0.000123014203078976,0.000203622038839674,-0.00021870018141957,0.000102070238559913,0.0001678950648388,0.00020698712857442,0.000168756413007988,5.13147426056595e-05,0.000125594438582202,2.48475891987986e-05,-0.000133020791579004,-0.00019342735840338,-9.07402740804541e-05,0.000126617931260407,-9.14409723877129e-06,6.4086219227129e-05,1.05815279816809e-06,1.337058370038e-05,-1.71862487242814e-05,-1.61585691505806e-05,-2.16059139933387e-06,-5.10609142807795e-05,3.51834796273776e-05,5.10212494951456e-06
"Nerodia_fasciata",-0.00866418877392701,-0.000406502065188329,-0.00159143618352234,-0.000448048179087775,-0.00226779377758818,0.00170745833027495,-0.00084526053908905,0.00123432410307453,-0.000545256906929768,-0.000526637234218837,-0.00026278520359138,0.000512835670216167,0.000975123625525432,-0.00111135562900035,-0.00127711284992083,0.000246971864692974,0.000237576030003256,0.00014358328118332,-0.000380104819240023,-8.2719808203004e-06,0.000139590858262144,-0.000115466904829631,-0.000356993279256241,3.5794687563803e-06,-0.00022025434236519,0.000270105956483715,0.000329830318359568,-0.00038088485258611,-5.09933026445089e-05,0.000234444324796349,2.31599146865936e-06,0.000167958982894788,7.03470923744836e-05,-0.000175048752906581,-1.19709829275462e-05,-6.14863963997104e-05,-3.88952838418509e-05,-6.18599928893081e-05,0.000153013399288213,-1.53754416052295e-05,2.09745948895375e-05,4.79849645923295e-05,5.17367413909207e-05,-1.78229079563941e-05,-6.57910719062599e-05,-6.04638544064723e-06,-1.02296923414246e-05,-5.40440533394695e-05,3.01807794562071e-05,-1.19303732359322e-06
"Nerodia_floridana",-0.0214199337362879,-0.00631571158293764,0.000526795859680669,-0.000115033880962142,-0.0034245442040066,0.00148561138013733,0.000323600954680184,0.00299138253062438,0.000278240077891519,-3.60109374050681e-05,-0.00205058578476362,0.000100043744191125,-0.00209634900987393,0.000159999821964749,0.00097045818990767,-0.000419785611725725,0.000400289888446801,-0.000335140822511805,-0.000493553915282882,-6.73887859365539e-05,0.000729921694081713,-0.000247969953987344,0.000150346166634909,0.000274348366381261,-1.64734358637268e-05,-4.28133592052102e-05,-0.000348338170191354,0.000245166126822861,-6.06678521480169e-05,-0.000189527856445759,1.45796813418864e-05,-5.46982262538626e-05,-2.87701418525158e-05,0.00020494324043044,2.75187125511301e-05,-5.25695862532555e-05,3.59107561048095e-05,-6.01712426198324e-05,0.000119715165534346,0.000108662054098437,3.23605996418366e-05,1.67771032731136e-05,1.36452008048615e-05,3.38158978434476e-05,-2.34207618379682e-05,6.70828086114382e-06,-1.27032996645557e-05,-3.21975086851184e-05,9.85353122224806e-06,1.23250221526444e-05
"Nerodia_paucimaculata",-0.007977445969382,-0.00177767635035324,0.000924506423965278,-0.000434357263306042,-0.000840039943474683,-0.000292763126264231,-0.00117550631373529,-0.00121040816255644,-5.34202472973535e-06,0.00167614061564642,0.00206813268343459,-0.000280548483939628,-0.000158059336623939,0.000266451002009162,-0.000584359572251518,-1.14504586632047e-05,5.5359713712682e-05,-0.000391693665130732,-0.000286435461165156,-0.000555639044640965,-9.91697207196404e-05,-8.49138228614608e-05,-0.000357297801119194,-0.000228135800806478,-4.90871730102082e-05,1.86722759014237e-05,3.83276903050357e-05,-0.000134713958354338,-0.000214786189269592,0.000199193788136235,-3.57603811245199e-05,3.04050338414958e-05,-1.84835367504477e-05,3.46492963568107e-05,6.6646112470696e-05,-7.87386269452538e-05,-0.000146346037681478,-3.71810038873086e-05,0.000135156151437344,4.12638089932006e-06,-7.06532841974369e-06,6.65383036491303e-05,8.02648595302139e-05,3.1929670144879e-05,-6.43262334117747e-05,1.46121324289405e-05,-5.28842566989653e-06,-4.60109480754637e-05,3.82074030066806e-05,6.49610201148811e-06
"Nerodia_rhombifer",-0.00838808924289284,-0.0013685274157905,-0.00125399015311255,-0.00116309877966303,-0.00166348136198271,0.00123102574758393,-0.0014134279880663,-1.11430637902532e-05,0.00122501446608481,-0.00168247053990196,0.0011735555668095,0.00038737640693273,-0.000251327984185985,0.000745112557660573,-0.00035333808013077,4.96128600484043e-05,-0.000356126154408734,-0.000241691717233075,-0.000451564727129737,0.000483661373883373,-2.74375010755335e-05,0.000176621822569869,-0.000198728223784835,-0.000146834324359639,4.94518125128268e-06,-0.000386099609520482,-0.00040247207278425,-0.000233397457671934,0.000262292470536766,-0.000211738040923673,-2.02771995224661e-05,0.000277415559501774,0.000170377770585896,-0.000121300181273121,2.25381155922831e-05,-8.19528430837272e-05,-0.000133071473638985,-3.1679062290501e-05,-7.50073135318801e-05,0.000106336940009559,4.05391170800678e-05,1.92408978422767e-05,2.96559303465469e-05,-2.17677937720117e-05,-0.000106928081445457,5.60037800896618e-05,1.70848051861375e-05,-2.99258192556474e-05,7.8713621014561e-06,1.29705754269184e-06
